,Person,Said
0,Joey,How could someone get a hold of your credit card number?
1,Monica,I have no idea.
2,Monica,But look how much they spent!
3,Rachel,"Monica, would you calm down?"
4,Rachel,The credit card people said that you only have to pay for the stuff that you bought.
5,Monica,I know.
6,Monica,It's just such reckless spending.
7,Ross,"I think when someone steals your credit card, they've kind of already thrown caution to the wind."
8,Chandler,"Wow, what a geek."
9,Chandler,They spent $69.95 on a Wonder Mop.
10,Monica,That's me.
11,Phoebe,Oh!
12,Phoebe,The yuk!
13,Phoebe,"Ross, he's doing it again!"
14,Ross,"Marcel, stop humping the lamp!"
15,Ross,Stop humping!
16,Ross,"Now Marcel, come back-  come here, Marcel-"
17,Rachel,"Oh no, not in my room!"
18,Rachel,I'll get him.
19,Monica,"Ross, you've got to do something about the humping."
20,Ross,What?
21,Ross,"It's, it's just a phase."
22,Chandler,"Well, that's what we said about Joey..."
23,Ross,Would you all relax?
24,Ross,It's not that big a deal.
25,Rachel,Stop it!
26,Rachel,Marcel!
27,Rachel,Bad monkey!
28,Ross,What?
29,Rachel,Let's just say my Curious George doll is no longer curious.
30,Rachel,Opening Credits
31,Rachel,"Oh, Monica."
32,Rachel,You are not still going over that thing.
33,Monica,This woman's living my life.
34,Rachel,What?
35,Monica,"She's living my life, and she's doing it better than me!"
36,Monica,"Look at this, look."
37,Monica,She buys tickets for plays that I wanna see.
38,Monica,"She, she buys clothes from stores that I'm intimidated by the sales people."
39,Monica,She spent three hundred dollars on art supplies.
40,Rachel,You're not an artist.
41,Monica,"Yeah, well I might be if I had the supplies!"
42,Monica,"I mean, I could do all this stuff."
43,Monica,Only I don't.
44,Rachel,"Oh, Monica, c'mon, you do cool things."
45,Monica,Oh really?
46,Monica,"Okay, let's compare, shall we."
47,Rachel,"Oh, it's so late for 'Shall we'..."
48,Monica,Do I go horseback riding in the park?
49,Monica,Do I take classes at the New School?
50,Rachel,Nooo...
51,Monica,This is so unfair!
52,Monica,"She's got everything I want, and she doesn't have my mother."
53,Chandler,How about Joey... Pepponi?
54,Joey,"No, still too ethnic."
55,Joey,My agent thinks I should have a name that's more neutral.
56,Chandler,Joey... Switzerland?
57,Joey,"Plus, y'know, I think it should be Joe."
58,Joey,"Y'know, Joey makes me sound like I'm, I dunno, this big."
59,Joey,Which I'm not.
60,Chandler,Joe...Joe...Joe...Stalin?
61,Joey,Stalin...Stalin...do I know that name?
62,Joey,It sounds familiar.
63,Chandler,"Well, it does not ring a bell with me..."
64,Joey,Joe Stalin.
65,Joey,"Y'know, that's pretty good."
66,Chandler,Might wanna try Joseph.
67,Joey,Joseph Stalin.
68,Joey,I think you'd remember that!
69,Chandler,Oh yes!
70,Chandler,"Bye Bye Birdie, starring Joseph Stalin."
71,Chandler,Joseph Stalin is the Fiddler on the Roof.
72,Rachel,Hey.
73,Phoebe,Hey.
74,Monica,Hi.
75,Monica,"Hi, uh, yes, this is Monica Geller."
76,Monica,"Um, I believe I'm taking some classes with you and I was wondering what they were."
77,Phoebe,What are you doing?
78,Monica,"Alright, great."
79,Monica,Thanks a lot.
80,Monica,I'm going to tap class.
81,Rachel,"What, what, so that you can dance with the woman that stole your credit card?"
82,Monica,"This woman's got my life, I should get to see who she is."
83,Rachel,Go to the post office!
84,Rachel,I'm sure her picture's up!
85,Rachel,"...Okay, Monica, y'know what, honey, you're kinda losing it here!"
86,Rachel,"I mean, this is really becoming like a weird obsession thing."
87,Phoebe,This is madness.
88,Phoebe,"It's madness, I tell you, for the love of God, Monica, don't do it!!"
89,Phoebe,...Thank you.
90,Monica,What d'you think?
91,Phoebe,Lotsa things.
92,Rachel,Which one do you think she is?
93,Monica,"Oh, no thanks, we're just here to observe."
94,Rachel,What does she mean?
95,Phoebe,I think she means  'You dance a dance class'.
96,Phoebe,"Oh, c'mon, c'mon."
97,Monica,"Okay, d'y'see anybody you think could be me?"
98,Rachel,She could be you.
99,Monica,"Okay, I'm not getting this!"
100,Phoebe,I'm totally getting it!
101,Monica,Did you ever feel like sometimes you are just so unbelievably uncoordinated?
102,Rachel,What?
103,Rachel,You just click when they click.
104,Phoebe,Okay.
105,Phoebe,"And, my, dead, mother, says, you, are, it."
106,Phoebe,I'm with Rachel.
107,Monica,Great.
108,Monica,It's gym class all over again.
109,Monica,Phoebe and
110,Rachel,Aww.
111,Monica,Why don't I just take off my clothes and have a nightmare.
112,Monica,Oh.
113,Monica,Monica!
114,Monica,...Hi.
115,Monica,I'm Mo- ...nana.
116,Monica,Yeah.
117,Monica,It's Dutch.
118,Monica,Fake
119,Monica,You're kidding!
120,Monica,I-I spent three years in Amsterdam.
121,Monica,"Um, Pennsylvania Dutch."
122,Ross,Hi.
123,Ross,Chandler and
124,Joey,Hey.
125,Joey,Where've you been?
126,Ross,At the vet.
127,Chandler,"She's not gonna make you wear one of those big plastic cones, is she?"
128,Ross,She says Marcel's humping thing's not a phase.
129,Ross,Apparently he's reached sexual maturity.
130,Joey,Hey!
131,Joey,He beat ya.
132,Ross,"She says as time goes on, he's gonna start getting agressive and violent."
133,Chandler,So what does this mean?
134,Ross,I'm gonna have to give him up.
135,Ross,Commercial Break
136,Joey,"I can't believe it, Ross."
137,Joey,This sucks!
138,Chandler,"I don't get it, I mean, you just got him."
139,Chandler,How can he be an adult already?
140,Ross,I know.
141,Ross,I know.
142,Ross,"I mean, one day, he's this little thing, and before you know it, he's this little thing I can't get off my leg."
143,Joey,Isn't there any way you can keep him?
144,Ross,"No, no."
145,Ross,"The vet says unless he's in a place where he has regular access to some... monkey lovin,' he's just gonna get vicious."
146,Ross,I've just gotta get him into a zoo.
147,Joey,How do you get a monkey into a zoo?
148,Chandler,I know that one!
149,Chandler,"...No, that's Popes into a Volkswagen."
