,Person,Said
0,Phoebe,"Ooh, ooh, ooh, ooh, ooh."
1,Phoebe,Ugly Naked Guy is decorating his tree.
2,Phoebe,"Oh my God, you should see the size of his Christmas Balls."
3,Joey,Hey.
4,Chandler,Hey.
5,Rachel,Hey.
6,Joey,"Hey, how much did you guys tip the super this year?"
7,Chandler,"Yeah, we were gonna give fifty, but if you guys gave more, we don't wanna look bad."
8,Monica,"Oh, actually this year we just made him homemade cookies."
9,Chandler,And twenty-five it is.
10,Joey,You gave him cookies?
11,Monica,Money is so impersonal.
12,Monica,Cookies says someone really cares.
13,Monica,"Alright, we're broke, but cookies do say that."
14,Phoebe,I can see that.
15,Phoebe,A plate of brownies once told me a limerick.
16,Chandler,"Phoebs, let me ask you something, were, were these, uh, funny brownies?"
17,Phoebe,Not especially.
18,Phoebe,"But you know what, I think they had pot in them."
19,Ross,"So you guys, who else did you tip with cookies?"
20,Rachel,"Uhh, the mailman, the super."
21,Monica,"Oh, and the newspaper delivery guy."
22,Monica,[Joey opens the door and picks up the remnants of the newspaper.
23,Joey,Oh my God.
24,Rachel,What?
25,Joey,"Uhhh, I don't think you're gonna like this."
26,Rachel,"Ooh, goooosh, ooh, these are cookies smashed in the sports section."
27,Monica,"Oh look, and he did my crossword puzzle."
28,Ross,"Yeah, but not very well, unless 14-across, 'Gershwin musical' actually is bitemebitemebitemebiteme."
29,Ross,OPENING TITLES
30,Joey,I can't believe it's Christmas already.
31,Joey,"Ya know, I mean, one day your eatin' turkey, the next thing ya know, your lords are a-leapin' and you geese are a-layin'."
32,Chandler,Which is why geese are so relaxed this time of year.
33,Ross,Hey guys.
34,Ross,"CHANDLER, MONICA, and"
35,Joey,Hey.
36,Ross,Hey Rach.
37,Ross,"I, uh, got you a little present."
38,Ross,I'll open it.
39,Ross,It's a Slinky!
40,Ross,"Remember, huh."
41,Ross,"Walks down stairs, alone or in pairs, everyone knows it's."
42,Ross,just a big spring.
43,Ross,"Alright, you still mad at me becuase of the whole."
44,Rachel,Horrible and degrading list of reasons not to be with me?
45,Ross,How 'bout from now on we just call it the 'unfortunate incident'?
46,Ross,"Hey Gunther, you got stairs in your place?"
47,Ross,"Here, go nuts."
48,Ross,Hey guys.
49,Ross,"CHANDLER, MONICA, and"
50,Joey,Hey.
51,Chandler,What's in the bag?
52,Ross,"Um, just some presents."
53,Joey,C'mon show us what you bought.
54,Joey,You know you want to.
55,Ross,"OK. OK, this is a picture frame from Ben to my parents, huh."
56,Monica,Cute.
57,Ross,"I got some, uh, hers and hers towels for Susan and Carol."
58,Ross,"And, uh, I got this blouse for mom."
59,Monica,"Ross, that is gorgeous!"
60,Ross,Yeah?
61,Monica,Look at these authentic fake medals.
62,Monica,"I tell ya, mom's gonna be voted best dressed at the make-believe military academy."
63,Phoebe,Hey.
64,Phoebe,Happy Christmas Eve Eve.
65,Phoebe,"Oh my God, where did you get this?"
66,Ross,"Uh, Macy's, third floor, home furnishings."
67,Phoebe,"This is my father, this is a picture of my dad."
68,Chandler,"Nah, Phoebs, that's the guy that comes in the frame."
69,Phoebe,"No it isn't, this is my dad, alright, I'll show you."
70,Rachel,"Phoebe, I thought your dad was in prison."
71,Phoebe,"No, that's my stepdad."
72,Phoebe,My real dad's the one that ran out on us before I was born.
73,Rachel,How have you never been on Oprah?
74,Phoebe,"OK, look, see, this is him."
75,Phoebe,"My mother gave me this picture before she died, same guy."
76,Monica,"Honey, uh, this is a picture of the frame guy posing in front of a bright blue screen with a collie."
77,Phoebe,"It's not a blue screen... it's just, maybe it was just really clear that day."
78,Phoebe,"OK, I have to talk to my grandmother."
79,Monica,"Oh, wait a minute honey."
80,Monica,Wow.
81,Joey,"So anyway, I'm trying to get my boss's ex-wife to sleep with me."
82,Joey,"Oh, but when Phoebe has a problem, everyone's all ears!"
83,Phoebe,Hi Gram.
84,Phoebe,Whatcha doin'?
85,Phoebe,"Um, gram, um, can I see the pictures of my dad again?"
86,Phoebe,"Just, you know, to see... um."
87,Phoebe,"OK, is this really my father?"
88,Phoebe,"OK, I smell smoke."
89,Phoebe,Maybe that's 'cause someone's pants are on fire.
90,Phoebe,"Ya know, in all the years that we have been grandmother and granddaughter, you have never lied to me."
91,Phoebe,Oh God.
92,Phoebe,"Alright, so, what, he's not a famous tree surgeon?"
93,Phoebe,"And then, I guess, OK, he doesn't live in a hut in Burma where there's no phones?"
94,Phoebe,"OK, that makes no sense."
95,Phoebe,Why would the villagers worship a pharmacist?
96,Phoebe,Oh.
97,Phoebe,Oh.
98,Chandler,"Ya know I remember my father, all dressed up in the red suit, the big black boots, and the patent leather belt, sneakin around downstairs."
99,Chandler,"He didn't want anybody to see him but he'd be drunk so he'd stumble, crash into something and wake everybody up."
100,Rachel,"Well, that doesn't sound like a very merry Christmas."
101,Chandler,Who said anything about Christmas?
102,Monica,Hi.
103,Ross,"Hey, anyone hear from Phoebe yet?"
104,Rachel,"No, nothin'."
105,Monica,I hope she's OK.
106,Joey,"Yeah, I know exactly what she's goin' through."
107,Monica,How do you know exactly what she's going through?
108,Joey,She told us.
109,Chandler,So whaddya got there Monica?
110,Monica,Just some stuff for the party.
111,Ross,"Yeah, what're you guys doin' here, aren't you supposed to be Christmas shopping?"
112,Monica,You guys haven't gotten your presents yet?
113,Monica,"Tomorrow's Christmas Eve, what're ya gonna do?"
114,Chandler,Don't you have to be Claymation to say stuff like that?
115,Rachel,"Oh, by the way Mon, I don't think the mailman liked your cookies."
116,Rachel,Here are the ornaments your mom sent.
117,Monica,"Well, maybe the mailman liked the cookies, we just didn't give him enough."
118,Joey,"Monica, pigeons learn faster that you."
119,Ross,"Hey, Rach, you know what?"
120,Ross,"I think, I think I know what'll make you feel better."
121,Ross,How 'bout you make a list about me.
122,Rachel,"Wha... forget it Ross, no, I am not gonna stand here and make a list of."
123,Ross,C'mon Rachel.
124,Rachel,"OK, you're whiney, you are, you're obsessive, you are insecure, you're, you're gutless, you know, you don't ever, you don't just sort of seize the day, you know."
125,Rachel,"You like me for what, a year, you didn't do anything about it."
126,Rachel,"And, uh, oh, you wear too much of that gel in your hair."
127,Ross,"See there, you uhh, alright, ya, you did what I said."
128,Rachel,"Yeah, and you know what?"
129,Rachel,"You're right, I do feel better, thank you Ross."
130,Phoebe,"Yeah, um, in Albany, can I have the number of Frank Buffay."
131,Phoebe,"OK, um, in Ithica."
132,Phoebe,"alright, um, Saratoga."
133,Phoebe,Oneonta.
134,Phoebe,"Alright, you know what, you shouldn't call youself information."
135,Phoebe,"Hello grandma, if that is in fact your real name."
136,Phoebe,"Well, not so good."
137,Phoebe,"Upstate's pretty big, he's pretty small, you do the math."
138,Phoebe,"No I just, just wanted to know who he was, ya know."
139,Phoebe,Whattaya mean?
140,Phoebe,Wow.
141,Phoebe,Thank you.
142,Phoebe,"Uh-huh, got it."
143,Phoebe,"Ooh, I'm gonna see my dad."
144,Phoebe,"Wish me luck, Grandpa!"
145,Phoebe,Commercial
146,Joey,Phoebe here with the cab yet?
147,Chandler,"Yeah, she, she brought the invisible cab."
148,Chandler,hop in.
149,Joey,"Well she better get here soon, the outlet stores close at 7."
150,Chandler,"Hey, don't worry."
151,Chandler,"I figure it'll be 2 hours to Phoebe's dad's house, they'll meet, they'll chat, they'll swap life stories, we'll still have plenty of time."
152,Joey,"Hey, here she comes."
153,Chandler,Hey.
154,Joey,Hey.
155,Phoebe,Hey.
156,Joey,Hey.
157,Phoebe,Can you believe this.
158,Phoebe,"In, like, two hours I'm gonna have a dad."
159,Phoebe,Eeeshk.
160,Chandler,Eeeshk.
161,Joey,"Yeah, big stuff."
162,Phoebe,"OK, let's go."
163,Chandler,OK.
164,Phoebe,"Alright, here, you have to hold this."
165,Chandler,OK.
166,Chandler,"Brake left, gas right?"
167,Phoebe,"Uh-huh, yeah, that's my cheat sheet."
168,Chandler,Where's my seat belt?
169,Phoebe,"Oh, no no, that side doesn't have one, the paramedics had to cut through it."
170,Chandler,Hey!
171,Joey,Hey.
172,Ross,"C'mon, just tell me, please, please."
173,Monica,"For the sixteenth time, no..."
174,Monica,I do not think you're obsessive.
175,Rachel,"Oh, gosh, it's hot in here."
176,Monica,"Rach, get the heat."
177,Monica,"Ross, could you turn the heat down please?"
178,Ross,Sure.
179,Ross,"By the way, there's a difference between being obsessive and."
180,Monica,"Ross, the heat!"
181,Ross,"Fine, OK!"
182,Ross,"Heat, heat, heat, and I'm the obsessive one."
183,Ross,"OK, this way is on, so this is."
184,Ross,off.
185,Rachel,Did you just break the radiator?
186,Ross,"No, no, I was turnin' the knob and, and."
187,Ross,here it is.
188,Monica,Well put it back.
189,Ross,"It uhh, it won't go back."
190,Rachel,I'll call the super.
191,Monica,"Here, let me try."
192,Ross,"Oh, oh that's right, I forgot about your ability to fuse metal."
193,Monica,"Hey, it's Funny's cousin, Not Funny."
194,Rachel,"Hi, Mr. Treeger."
195,Rachel,"Hi, it's Rachel Green from upstairs."
196,Rachel,"Yes, somebody, uh, broke our knob on the radiator and it's really hot in here."
197,Rachel,"Yes, it's, it's hot enough to bake cookies."
198,Rachel,"Well, do you think we could have a new one by 6?"
199,Rachel,"Wha t, no, no, Tuesday, we can't wait until Tuesday, we're having a party tonight."
200,Ross,"OK, tip the man."
201,Monica,"No, if he doesn't like our cookies, too bad, I am not gonna be blackmailed."
202,Monica,"Look if worse comes to worse, it gets a little warm, we'll call it a theme party."
203,Ross,"Hey, here's a"
204,Phoebe,"Ooh, this is it, 74."
205,Chandler,"Oh, so that's what this is for."
206,Phoebe,"Wow, this is it, I'm gonna meet my dad."
207,Phoebe,"This is like the biggest thing ever, huh."
208,Chandler,Yeah.
209,Joey,Sure is.
210,Phoebe,"OK, here I go."
211,Phoebe,I'm goin' in.
212,Chandler,Alright.
213,Joey,Good luck Phoebs.
214,Phoebe,"OK, here I go."
215,Phoebe,here I go.
216,Phoebe,I'm goin'.
217,Rachel,"Hi, welcome to our tropical Christmas party."
218,Rachel,You can put your coats and sweaters and pants and shirts in the bedroom.
219,Ross,"It's hard to tell because I'm sweating, but I use exactly what the gel bottle says, an amount about the size of a pea."
220,Ross,"How, how can that be too much?"
221,Monica,"Ice, ice, ice squares anyone?"
222,Monica,Take a napkin.
223,Monica,Alright.
224,Ross,"Monica, Monica, your guest are turning into jerky, OK."
225,Monica,Really?
226,Monica,I'm perfectly comfortable.
