,Person,Said
0,Chandler,Wait.
1,Chandler,"Before we go in, I just want you to know I love you."
2,Chandler,"I had a great time on our honeymoon, and I can't wait to go in there and spend the rest of our life together."
3,Monica,You're really sticking with the shell necklace huh?
4,Phoebe,Hi!
5,Joey,Hey!
6,Joey,You're back!
7,Monica,Hi sweetie!
8,Phoebe,Come on in!
9,Phoebe,So how was the honeymoon?
10,Monica,"Oh, so much fun."
11,Monica,"But the best part is, we met this incredible couple on the way back."
12,Phoebe,That was the best part?
13,Phoebe,Good honeymooning tiger.
14,Monica,"No, they were really cool."
15,Monica,They were on their honeymoon too!
16,Chandler,"They're terrific, and they live right here in the city."
17,Monica,"Yeah, can we go call them?"
18,Monica,Is it too soon to call?
19,Monica,I wanna call.
20,Chandler,"I'm sorry, we're just kinda excited because we finally have a couple to hang out with."
21,Monica,I know.
22,Joey,A couple?
23,Joey,Like two people?
24,Joey,"Like  one , two people?"
25,Monica,This is different!
26,Monica,Greg and Jenny are in a relationship.
27,Phoebe,"Oh, Greg and Jenny yuck!"
28,Phoebe,"Hi Greg, I'm Chandler this is Monica."
29,Phoebe,"Hi Monica, this is Jenny."
30,Phoebe,Hi Jenny.
31,Phoebe,Hi Greg.
32,Chandler,"Listen, they are really great."
33,Chandler,If you just got a chance
34,Joey,Y'know what?
35,Joey,Why don't you just give us our souvenirs and get the hell out of here?
36,Chandler,We reallydidn't get a chance to
37,Phoebe,You have got to be kidding me!
38,Monica,We didn't get anything for anyone.
39,Joey,Hm-mm!
40,Joey,Yeah nice necklace!
41,Monica,That you can have.
42,Monica,Opening Credits {Transcriber's
43,Rachel,Hi!
44,Ross,Hello!
45,Rachel,Welcome home.
46,Ross,"So, how was the honeymoon?"
47,Monica,It was great!
48,Monica,It was great!
49,Monica,How about you?!
50,Monica,I mean you're having a baby!
51,Rachel,Oh!
52,Rachel,Look!
53,Rachel,I have a sonogram picture!
54,Monica,Oh great!
55,Chandler,Ross!
56,Chandler,It's got your wavy black lines!
57,Monica,"All right, so now that Ross knows can you tell us y'know how it happened?"
58,Monica,"I mean, when did it happen?"
59,Monica,How many times did it happen?
60,Phoebe,Monica!
61,Phoebe,That's not right!
62,Phoebe,Start with where.
63,Rachel,"Well it happened about six weeks ago, and uh I had just got home from work and Ross was already there cause I guess he had been hanging out with Joey."
64,Joey,You're welcome buddy.
65,Ross,"Yeah, thanks."
66,Rachel,"And so I had a lot of work to do so Ross, nice guy that he is, offered to help me out."
67,Rachel,"And then we had a little wine, we got to talking, and the next thing you know out of nowhere Ross comes on to me."
68,Ross,Umm that'sthat's a little misleading.
69,Rachel,What is?
70,Ross,The lie you just told.
71,Rachel,That-that you came on to me?
72,Ross,There's the one!
73,Rachel,But you did!
74,Rachel,"I mean, let's be honest."
75,Ross,Yes let's.
76,Ross,Y'know what?
77,Ross,"Uh, it's-it's not important."
78,Ross,"What is important is that, is that we're having a baby."
79,Ross,And it's notDoesn't matter who came on to who.
80,Joey,Whom.
81,Joey,That's right.
82,Rachel,You know you kissed me first.
83,Ross,What?
84,Ross,What?!
85,Ross,You were begging me to kiss you!
86,Ross,You-you-you were sending me signals all over the place!
87,Rachel,I was sending you signals?
88,Ross,Yeah!
89,Rachel,Oh please.
90,Rachel,"Okay, anyone in this room think that I would send Ross begging symbols, please show of hands."
91,Ross,Y'know what?!
92,Ross,It doesn't matter!
93,Ross,It doesn't matter what you believe!
94,Ross,What matters is what happened!
95,Rachel,Okay.
96,Rachel,"So these signals Ross, explain this to me, cause maybe I need to be more careful."
97,Rachel,"I mean, am I sending you these signals right now?"
98,Ross,Y'know what?
99,Ross,Y'know what?
100,Ross,"Rachel, just-just drop it."
101,Rachel,"No please, show me how I begged you!"
102,Ross,"I can show you, I have it on videotape!"
103,Ross,It's an expression.
104,Ross,Commercial Break
105,Phoebe,I can't believe he taped the two of them having sex!
106,Joey,Yeah!
107,Joey,You gotta tell a girl before you tape her.
108,Joey,Such a rookie mistake.
109,Chandler,Y'know who has a great video camera?
110,Phoebe,Greg and Jenny?
111,Monica,Do you still wanna call em?
112,Monica,I wanna call em.
113,Chandler,Let's call em.
