,Person,Said
0,Monica,Okay.
1,Ross,"Okay, I know I'm not supposed to know, but I do."
2,Ross,And I'm so excited for you!
3,Joey,What?
4,Joey,What's going on?
5,Ross,Monica's pregnant!
6,Joey,Oh my God!
7,Joey,Is that why you guys had to get married?
8,Monica,Guys!
9,Monica,I'm not pregnant.
10,Joey,Ah.
11,Joey,Slow swimmers?
12,Ross,What?!
13,Ross,What do you mean?
14,Ross,You-you-you're not pregnant?
15,Monica,You didn't tell anybody I was did you?
16,Ross,No!
17,Ross,I'll be right back.
18,Monica,"Oh, about that."
19,Monica,"Joey, you have to change before the party."
20,Joey,I can't!
21,Joey,I-I don't have any other clothes here.
22,Monica,Find some!
23,Monica,Please!
24,Monica,Anything that doesn't say I-I died tragically in France.
25,Phoebe,Okay.
26,Phoebe,"Hey Mon, why did you tell the guys you weren't pregnant?"
27,Monica,Because I'm not.
28,Phoebe,"We found your test in the trash, if you're not pregnantIt's because I am."
29,Chandler,What?!
30,Chandler,What are you talking about?
31,Monica,What are you talking about?
32,Phoebe,"Yes, II am with child."
33,Phoebe,And I didn't want to say anything because it's your day; I didn't want to steal your thunder.
34,Monica,Wait a minute!
35,Monica,So you told people I was pregnant?!
36,Monica,Does this look like a conversation that I want to remember?
37,Chandler,Who's the father?
38,Monica,Yeah!
39,Phoebe,I can't say.
40,Monica,Why?
41,Chandler,Why not?
42,Phoebe,I can't say because he's famous.
43,Rachel,"Oh my God, who is it?"
44,Monica,"Phoebe, come on, you have to tell us."
45,Phoebe,"Okay, okay."
46,Phoebe,It's James Brolin.
47,Phoebe,James Brolin is the father of my baby.
48,Chandler,As in Barbara Streisand's husband James Brolin?
49,Phoebe,What?!
50,Phoebe,Well he never said that to me!
51,Phoebe,Opening Credits
52,Phoebe,How about just the bridemaids?
53,Chandler,Y'know I am the groom right?
54,Chandler,I was told it was kinda big deal.
55,Phoebe,It is.
56,Rachel,For you.
57,Phoebe,Oh my God!
58,Rachel,"Oh, thank you for doing that."
59,Rachel,I just can't deal with this just quite yet.
60,Phoebe,So instead you told me Monica was pregnant.
61,Rachel,"You said that she was, I just didn't disagree with you."
62,Phoebe,Sneaky.
63,Rachel,Oh yeah.
64,Rachel,Oh!
65,Rachel,Oh by the way?
66,Phoebe,Uh-hmm.
67,Rachel,James Brolin?
68,Phoebe,"Oh, I know."
69,Phoebe,"I could only think of two names, him and Ed Begley Jr. and then I remembered he's gay."
70,Rachel,Ed Begley Jr. is not gay.
71,Phoebe,Really?
72,Chandler,Before we go out there I've got a present for ya.
73,Monica,"Honey, I'm going to put my hand in your pocket!"
74,Chandler,No?
75,Monica,No.
76,Chandler,I've been taking dancing lessons.
77,Monica,What?
78,Chandler,"Yeah, the last six weeks."
79,Chandler,I wanted this to be a moment you will never forget.
80,Monica,Oh that is so sweet!
81,Chandler,So?
82,Chandler,Would you care to join me in our first dance as husband and wife?
83,Monica,Yes.
84,Monica,What's the matter?
85,Chandler,"I don't know, it's these new shoes, they're all slippery."
86,Monica,"Well, are you going to be able to do this?"
87,Chandler,Not well.
88,Monica,"Well, the good news is, I don't think anyone's looking at us."
89,Phoebe,"So, are you ready to talk about it?"
90,Rachel,No.
91,Phoebe,Now?
92,Rachel,No!
93,Phoebe,"Okay, we'll talk about something else then."
94,Rachel,Thank you.
95,Phoebe,Who's the father?
96,Rachel,Ugh!
97,Rachel,Look honey y'know what?
98,Rachel,"I haven't told him yet, so until I do I don't think I should tell anybody else."
99,Phoebe,Yeah.
100,Phoebe,That's fine.
101,Phoebe,That's fair.
102,Phoebe,Is it Tag?
103,Rachel,Phoebe!
104,Phoebe,"Okay, I'm sorry."
105,Phoebe,I'll stop.
106,Rachel,Okay.
107,Phoebe,Is it Ross?
108,Phoebe,"It's Ross isn't itOh my God, it's Joey!"
109,Rachel,"Honey, stop it!"
110,Rachel,I am not going to tell you until I tell him.
111,Phoebe,Ah-hah!
112,Phoebe,At least we know it's a him.
113,Monica,Oh sweet Lord.
114,Joey,I'm sorry!
115,Joey,Okay?
116,Joey,I went down to the gift shop and it's either this or a bathrobe!
117,Joey,"Look, what's more important, the way I'm dressed or me being with you on your special day?"
118,Monica,"Honey, I'm not even going to pretend I was listening."
119,Monica,Hey!
120,Monica,Hey!
121,Ross,Hi.
122,Ross,"I'm uh, I'm Ross."
123,Ross,"I don't, I don't believe we've met."
124,Ross,I'm Monica's older brother.
125,Ross,Oh!
126,Ross,"Hello uh, Mona from her restaurant."
127,Ross,"Mona, wow what a, what a beautiful name."
128,Ross,"Aw come on, Mona Lisa?"
129,Ross,Mona ummClickclocken.
130,Ross,The famous botanist?
131,Ross,Huh?
132,Ross,Oh no she's uhwell she's dead now.
133,Ross,"No, supposedly she was once quite the hottie of the plant world."
134,Ross,Linda Clickclocken.
135,Ross,"So what uh, what-what table are you at?"
136,Ross,"Oh, uh me too."
137,Ross,Yes there will.
138,Ross,"Oh guess what, Molly Gilbert you've just been bumped up to table one."
139,Ross,And if it's all right with you I'm gonna take your place at table sixMartin Clickclocken.
140,Joey,"That's better, now just bend your arms a little more."
141,Joey,There you go.
142,Joey,"Okay, look straight ahead."
143,Joey,Now this time I want you to really put your ass into it.
144,Joey,Mrs.
145,Chandler,Thank you.
146,Chandler,Mrs.
147,Chandler,Bravo Dennis thanks for pleasing my mother so.
148,Chandler,Dennis
149,Joey,"I don't believe we've met, Joey Tribbiani."
150,Joey,Dennis
