,Person,Said
0,Rachel,Ross kissed me.
1,Monica,"Oh my god, oh my god, oh my god!"
2,Rachel,It was unbelievable!
3,Monica,"Oh my god, oh my god, oh my god!"
4,Phoebe,"Ok, all right."
5,Phoebe,We want to hear everything.
6,Phoebe,"Monica, get the wine and unplug the phone."
7,Phoebe,"Rachel, does this end well or do we need to get tissues?"
8,Rachel,"Oh, it ended very well."
9,Phoebe,Oh.
10,Monica,Do not start without me.
11,Monica,Do not start without me.
12,Phoebe,"Ok, all right, let's hear about the kiss."
13,Phoebe,"Was it like, was it like a soft brush against your lips?"
14,Phoebe,"Or was it like a, you know, a ""I gotta have you now"" kind of thing?"
15,Rachel,"Well, at first it was really intense, you know."
16,Rachel,"And then, oh, god, and then we just sort of sunk into it."
17,Phoebe,"Ok, so, ok, was he holding you?"
18,Phoebe,Or was his hand like on your back?
19,Rachel,"No, actually first they started on my waist."
20,Rachel,"And then, they slid up, and then, they were in my hair."
21,Rachel,PHOE/MNCA
22,Ross,"And, uh, and then I kissed her."
23,Joey,Tongue?
24,Ross,Yeah.
25,Joey,Cool.
26,Joey,Opening Credits
27,Chandler,"All right, check out this bad boy."
28,Chandler,12 megabytes of ram.
29,Chandler,500 megabyte hard drive.
30,Chandler,"Built-in spreadsheet capabilities and a modem that transmits at over 28,000 b.p.s."
31,Phoebe,Wow.
32,Phoebe,What are you gonna use it for?
33,Chandler,Games and stuff.
34,Monica,There are no jobs.
35,Monica,There are no jobs for me.
36,Joey,"Wait, here's one."
37,Joey,"Uh, would you be willing to cook naked?"
38,Monica,There's an ad for a naked chef?
39,Joey,"No, but if you're willing to cook naked, then you might be willing to dance naked."
40,Joey,And then...
41,Ross,Hi.
42,Phoebe,"Hey, oh, so, um...how'd you make out last night?"
43,Ross,"That, that is funny."
44,Ross,That is painfully funny.
45,Ross,"No, wait."
46,Ross,"Wait, yeah, that's just painful"
47,Monica,Wait a minute.
48,Monica,I thought last night was great.
49,Ross,"Yeah, it was, but...I get home, ok, and I see Julie's saline solution on my night table."
50,Ross,"And I'm thinking to myself, oh my god, what the hell am I doing?"
51,Ross,"I mean, here I am, I am with Julie, this incredible, great woman, who I care about and who cares about me, and I'm like, what, am I just gonna throw all that away?"
52,Joey,You got all that from saline solution?
53,Monica,We are talking about Rachel here.
54,Monica,You and Rachel.
55,Ross,"Believe me, I've been dreaming about me and Rachel for ten years now."
56,Ross,"But now, I'm with Julie, so it's like me and Julie, me and Rachel, me and Julie, me and... ... Rachel."
57,Ross,"Rachel, Rachel."
58,Rachel,"Hey, you."
59,Ross,How are you?
60,Rachel,Good.
61,Rachel,How are you?
62,Ross,Good.
63,Ross,"Hi, Julie."
64,Ross,"Hi, Julie."
65,Ross,"Julie, um, how are you?"
66,Ross,"Good, so everybody's here."
67,Ross,Everybody's good.
68,Ross,"So, were you gonna play something, Phoebe?"
69,Phoebe,"Oh, well, actually."
70,Ross,Play it.
71,Phoebe,"Ok, all right."
72,Joey,"Hey, Julie, I didn't know you wore lenses."
73,Ross,Ssshh.
74,Phoebe,"Ok, um, hi, hello, hi, ok, so, um, this is a song about a love triangle between three people that I made up."
75,Phoebe,"Um, it's called, um, ""Two of Them Kissed Last Night""."
76,Phoebe,"There was a girl, we'll call her Betty, and a guy let's call him Neil."
77,Phoebe,"Now I can't stress this point too strongly, this story isn't real."
78,Phoebe,"Now our Neil must decide, who will be the girl that he casts aside."
79,Phoebe,Will Betty be the one who he loves truly?
80,Phoebe,Or will it be the one who we'll call Ju...Loolie?
81,Phoebe,"He must decide, he must decide, even though I made him up, he must decide!"
82,Monica,"So, Mr. Rastatter, what exactly does this job entail?"
83,Monica,The ad wasn't too clear.
84,Monica,I'm sorry?
85,Monica,Ohh.
86,Monica,All right.
87,Monica,Mmm-mmm.
88,Monica,I love how it crumbles.
89,Monica,"Now see, your chocolate doesn't do that."
90,Monica,Mmm-mmm.
91,Monica,Wow.
92,Monica,Just waiting for it to stop bubbling.
93,Monica,Mmm.
94,Monica,Abso......lutely.
95,Monica,"See, I love creating new recipes."
96,Monica,I love Thanksgiving.
97,Monica,"And, well, now, I love Mockolate."
98,Monica,"Especially the after taste, you know, I'll tell ya, that'll last ya till Christmas."
99,Monica,How about Mockolate mousse?
100,Phoebe,"It's not, it's not very Thanksgiving-y."
101,Monica,"Ok, how about pilgrim Mockolate mousse?"
102,Phoebe,What makes it pilgrim?
103,Monica,We'll put buckles on it.
104,Rachel,Hey.
105,Phoebe,Hey.
106,Monica,Hey.
107,Rachel,"Did uh, Ross call?"
108,Monica,"No, I'm sorry."
109,Rachel,Why didn't he call?
110,Rachel,"He's gonna stay with Julie, isn't he?"
111,Rachel,"He's gonna stay with her and she's going to be all, ""Hi, I'm Julie, Ross picked me, and we're gonna to get married, have a lot of kids and dig up stuff together."""
112,Phoebe,"No offense, but that sounds nothing like her."
113,Ross,I don't know what to do.
114,Ross,What am I gonna do?
115,Ross,"I mean, this, this is like a complete nightmare."
116,Chandler,"Oh, I know."
117,Chandler,This must be so hard.
118,Chandler,"Oh, no."
119,Chandler,Two women love me.
120,Chandler,They're both gorgeous and sexy.
121,Chandler,"My wallet's too small for my fifties, and my diamond shoes are too tight."
122,Joey,"Hey, here's a thought, Ross."
123,Chandler,Don't touch the computer.
124,Chandler,Don't ever touch the computer.
125,Joey,"Ross, listen."
126,Joey,I got two words for you.
127,Joey,Threesome.
128,Chandler,"Ok, all right, look."
129,Chandler,"Let's get logical about this, ok?"
130,Chandler,We'll make a list.
131,Chandler,"Rachel and Julie, pros and cons."
132,Chandler,Oh.
133,Chandler,"We'll put their names in bold, with different fonts, and I can use different colors for each column."
134,Ross,Can't we just use a pen?
135,Chandler,"No, Amish boy."
136,Joey,"Ok, let's start with the cons, 'cause they're more fun."
137,Joey,"All right, Rachel first."
138,Ross,I don't know.
139,Ross,"I mean, all right, I guess you can say she's a little spoiled sometimes."
140,Joey,You could say that.
141,Ross,"And I guess, you know, sometimes, she's a little ditzy, you know."
142,Ross,And I've seen her be a little too into her looks.
143,Ross,"Oh, and Julie and I, we have a lot in common 'cause we're both paleontologists, but Rachel's just a waitress."
144,Chandler,Waitress.
145,Chandler,Got it.
146,Chandler,You guys wanna play Doom?
147,Chandler,Or we could keep doing this.
148,Chandler,What else?
149,Ross,I don't know.
150,Joey,"Oh, her ankles are a little chubby."
151,Chandler,"Ok, let's do Julie."
152,Chandler,What's wrong with her?
153,Ross,She's not Rachel.
154,Monica,"Ok, this is pumpkin pie with mockolate cookie crumb crust."
155,Monica,"This is mockolate cranberry cake, and these are mockolate chip cookies."
156,Monica,Just like the Indians served.
157,Rachel,Oh my god.
158,Monica,Oh my god good?
159,Rachel,"Oh my god, I can't believe you let me put this in my mouth."
160,Phoebe,"Oh, oh sweet Lord!"
161,Phoebe,This is what evil must taste like!
162,Chandler,I'm telling you this thing won't print.
163,Chandler,"Yes, I pressed that button like 100 times."
164,Chandler,"You know, for a hot line you are not so hot."
165,Chandler,What?
166,Chandler,What is that in the background?
167,Chandler,Are you watching Star Trek?
168,Joey,"Hey, so how'd it go with Julie?"
169,Joey,"Did you, did you break her heart?"
170,Ross,"Yes, it was horrible."
171,Ross,She cried.
172,Ross,I cried.
173,Ross,"She threw things, they hit me."
174,Ross,"Anyway, I did the right thing."
175,Chandler,"So, Spock actually hugs his father?"
176,Rachel,"Hey, do you guys have......hi."
177,Ross,Hi.
178,Rachel,Where you goin'?
