,Person,Said
0,Joey,Hello.
1,Chandler,"Hey, it's me."
2,Chandler,"I know you can't stand to be in the same room as me, so I just thought I'd try and apologize over the phone."
3,Chandler,All I
4,Joey,Hello.
5,Chandler,"Look I never should have kissed your girlfriend, but I'm"
6,Joey,Stop callin'!
7,Joey,All right!
8,Chandler,"Aww, turkey!"
9,Chandler,"Aww, giving thanks!"
10,Chandler,Aww!
11,Phoebe,"Look everyone, it's the spirit of Thanksgiving!"
12,Rachel,So are things with you and Joey any better?
13,Chandler,They couldn't be worse.
14,Chandler,"I spent eight hours calling him last night, just trying to get him to talk to me."
15,Rachel,"Oh wow, eight hours?"
16,Rachel,So you could probably really use one of those plug-in telephone headsets huh?
17,Ross,Should we all expect Christmas gifts that can be stolen from your office?
18,Rachel,You shouldn't.
19,Phoebe,"Speaking of Christmas, umm since Monica and I are starting a new business and have like no money, umm, this year maybe we could do secret Santa, and then we each only buy one gift."
20,Phoebe,And-and there's the added mystery of who gets who.
21,Ross,Who gets whom.
22,Ross,I don't know why I do that.
23,Rachel,"Well, I'm gonna take a nap, turkey makes me sleepy."
24,Monica,We haven't eaten yet!
25,Rachel,"I know, but all that work you're doing to get it ready, I just"
26,Chandler,"Hey, by any chance did either of pick uh Rachel for your secret Santa, cause I wanna trade for her."
27,Phoebe,I picked her!
28,Phoebe,Oh thank God you want her!
29,Phoebe,Ooh!
30,Chandler,Wow!
31,Chandler,Why do you want to get rid of her so badly?
32,Phoebe,"Because she exchanges every gift she ever gets, it's like impossible to get her something she likes."
33,Phoebe,"Come on, let's trade!"
34,Chandler,Oh that's not true!
35,Chandler,That's not true!
36,Chandler,I got her that backpack and she loved it!
37,Chandler,"I remember how much she was crying the day when that big dog ran off with it  Oh, there was no big dog."
38,Chandler,All right this sucks!
39,Chandler,"I already got her this briefcase, and I had R.G."
40,Chandler,put on it  Her initials
41,Phoebe,Ohh.
42,Monica,"Well, maybe you could give to somebody else."
43,Monica,"Ooh, like Ross Geller."
44,Chandler,"Op, y'know what though, it's kind've a girlie briefcase."
45,Monica,Who cares?
46,Monica,He works in a museum!
47,Chandler,"Hey, what time is it?"
48,Chandler,The big game is about to start!
49,Phoebe,"You don't have to do that, Ross and Joey aren't here, you can watch the parade if you want."
50,Chandler,Thanks.
51,Monica,What is wrong with this freezer?!
52,Monica,Ow!
53,Monica,Ow!
54,Phoebe,"God, what happened?"
55,Monica,"Oh my God, ice just got in my eye!"
56,Rachel,People are trying to sleep in here!
57,Chandler,"Monica got ice in her eye, and it hurts."
