,Person,Said
0,Joey,What are you doing?
1,Ross,I...reorganized the fridge.
2,Ross,"See, bottom"
3,Joey,Why are you doing this?
4,Ross,Because I am bored...Out of my mind.
5,Ross,"I've already been to the bank, post office, and the dry cleaners."
6,Joey,"Dude, you just described seven days worth of stuff."
7,Joey,"You've got to spread it out a little, you know."
8,Joey,Haven't you ever been unemployed?
9,Ross,"Hey, I am not unemployed."
10,Ross,I'm on sabbatical!
11,Joey,"Hey, don't get religious on me, ok.  A guy in your position needs to be a little better at relaxing."
12,Joey,You know.
13,Joey,Why do you think we have the comfortable chairs?
14,Joey,Huh...come heresit down.
15,Joey,Ready?
16,Joey,Ahh!!
17,Joey,"Ohh, yeah!!"
18,Joey,Huh?
19,Ross,"So what, we just sit?"
20,Joey,"Ohh, no, no."
21,Joey,We're not going to just sit.
22,Joey,Shhh.
23,Chandler,"Hello, Chandler Bing."
24,Joey,Hello Mr.
25,Joey,Bing...I love you.
26,Chandler,"Alright, whoever this is, stop calling me!"
27,Chandler,It's been six months!
28,Chandler,It's not funny!
29,Joey,"But, I love you."
30,Chandler,Leave me alone!
31,Chandler,"For the love of God, leave me alone!!"
32,Joey,And that's Wednesday.
33,Joey,Ohh.
34,Joey,Opening Credits
35,Phoebe,"Hey you guys, guess what?"
36,Chandler,The British are coming?
37,Phoebe,"Ohh, you and your ways."
38,Phoebe,Since it's Christmastime.
39,Phoebe,I'm going to be one of those people collection donations.
40,Phoebe,"Yeah, I already have my bell and later on...I get my bucket."
41,Chandler,Ohh.
42,Phoebe,"Yeah, yeah, I'm going to be out there spreading joy to the people."
43,Phoebe,"I mean, last year, I spread a little joy but not really enough."
44,Phoebe,"So this year, I'm going to do the whole city."
45,Monica,"You know, I knew a girl in high school who did that."
46,Monica,She was very popular.
47,Joey,"So Pheebs, where are you doing all, your bell ringing?"
48,Phoebe,"Ohh, they gave me a great spot."
49,Phoebe,Right by Macys.
50,Phoebe,"Yeah, they hardly ever give such a good spot to a rookie, but I'm the only one who can sing ""Merry Christmas"" in 25 languages."
51,Phoebe,I lied.
52,Rachel,Oh my god.
53,Rachel,"Ok you guys, there's Danny."
54,Rachel,Watch.
55,Rachel,Just watch this.
56,Rachel,See?!
57,Rachel,Still pretending he's not interested.
58,Rachel,"Ohh, he's coming over."
59,Rachel,Just pretend like we don't know him.
60,Rachel,We've forgotten who he is.
61,Monica,Danny?
62,Monica,You know Rachel?
63,Monica,She's nice.
64,Monica,"She's not bad to look at, right?"
65,Rachel,"Thanks, Mon."
66,Monica,Do you want to go out on a date with her?
67,Rachel,Monica!!
68,Monica,Friday's perfect...She can't wait.
69,Rachel,Okay.
70,Rachel,What the hell was that?
71,Rachel,You know what?
72,Rachel,Don't answer me.
73,Rachel,I have a date with Danny.
74,Joey,How could I not get the part?
75,Joey,The play was about a 29-year-old Italian actor from Queens.
76,Joey,She's a woman!
77,Joey,"Okay, is there anything else?"
78,Phoebe,Happy Holidays.
79,Phoebe,Feliz Navidad.
80,Phoebe,"Allo, and Merry Christmas."
81,Phoebe,Ohh thank you sir.
82,Phoebe,Here's some joy.
83,Monica,Phoebe!
84,Phoebe,Hey!
85,Monica,I just wanted to see how it's going.
86,Phoebe,"Well, it's going okay."
87,Monica,"Well good, here let me help you out."
88,Phoebe,"Oh, thanks!"
89,Monica,Yeah!
90,Phoebe,Wow!
91,Phoebe,Is that a new Swede jacket?
92,Phoebe,It looks really expensive.
93,Monica,Yeah.
94,Monica,I guess.
95,Phoebe,Just get your nails done?
96,Monica,"Yes Phoebe, but this is all I have."
97,Monica,Okay?
98,Phoebe,Okay!
99,Phoebe,Thanks!
100,Phoebe,"Happy Holidays, here's your joy."
