,Person,Said
0,Ross,What's going on?
1,Rachel,"Well, my eye is a little itchy."
2,Joey,"Uhhh, mine too!"
3,Joey,Yeah.
4,Monica,Wow!
5,Monica,It's really red!
6,Monica,You should go see my eye doctor.
7,Rachel,Richard?
8,Rachel,I'm not gonna go see your ex-boyfriend!
9,Chandler,"Oh, Richard."
10,Chandler,"That's all I ever hear, Richard, Richard, Richard!"
11,Monica,"Since we've been going out, I think I've mentioned his name twice!"
12,Chandler,"Okay, so Richard, Richard!"
13,Monica,It's not Richard!
14,Monica,Okay?
15,Monica,It's this new guy and he's really good.
16,Rachel,"Well, I'm sorry I'm not going to an eye doctor!"
17,Ross,"Oh God, here we go!"
18,Chandler,What?
19,Ross,Anytime anything comes close to touching her eye or anyone else's she like freaks out.
20,Ross,Watch!
21,Ross,Watch!
22,Rachel,Ross!
23,Rachel,Come on!
24,Rachel,That's all right!
25,Rachel,"Fine--Okay, I have a weird thing about my eye."
26,Rachel,Can we not talk about it please?
27,Monica,"Hey Rach, remember that great song, Me, Myself, and I?"
28,Rachel,Monica!
29,Rachel,Come on!
30,Ross,"Hey, does anybody want to get some lunch?"
31,Ross,All those in favor say I?
32,Rachel,Ross!
33,Rachel,Stop it!
34,Rachel,Come on!
35,Chandler,How much did I love The King and I?
36,Rachel,Chandler!
37,Joey,Me too!
38,Joey,Me too!
39,Joey,Me too!
40,Rachel,Just stop it!
41,Rachel,Come on!
42,Chandler,You okay there man?
43,Joey,"Yeah, I got too excited!"
44,Joey,Opening Credits
45,Ross,"All right, I gotta go."
46,Ross,I'm taking Ben to the park.
47,Phoebe,"Ohh, give him a kiss for me!"
48,Ross,"All right, bye!"
49,Monica,Bye!
50,Phoebe,Bye!
51,Ross,Later!
52,Phoebe,I am so sorry you got caught in the middle of that.
53,Phoebe,I didn't mean to be so out there.
54,Phoebe,I am furious with him!
55,Chandler,"Wow umm, calm down."
56,Phoebe,"I'm trying, but man that guy can push my buttons!"
57,Monica,Why are so mad at him?
58,Phoebe,"Look, I don't wanna talk about it."
59,Phoebe,Okay?
60,Monica,"Well, it just seems that"
61,Phoebe,You wanna be on my list too?
62,Phoebe,Keep talking!
63,Phoebe,Has anyone seem my list by the way?
64,Chandler,"Uh, no Pheebs."
65,Chandler,What's it look like?
66,Phoebe,"Uh, it's a piece of paper and it says, ""Ross"" on it."
67,Joey,Hey.
68,Joey,I just got off the phone with Estelle and guess what.
69,Joey,I GOT THE LEAD IN A MOVIE!!!!!
70,Chandler,You got the lead in a movie?
71,Chandler,That's amazing!
72,Chandler,What's the movie about?
73,Joey,"It's called Shutter Speed, it's really cool!"
74,Joey,"Yeah, umm, I meet this girl in the subway and we fall in love in like a day, right?"
75,Joey,"And then, she disappears But I find out where she lives and when I get there this like old lady answers the door and I say, ""Where's Betsy?"""
76,Joey,Right?
77,Joey,"And she says, ""Betsy's been dead for 10 years."""
78,Phoebe,"Ohh-oh, chilling!"
79,Joey,"And the best part is, we're filming in the desert outside Vegas!"
80,Joey,And you know what that means buddy!
81,Chandler,"Yeah, I know that means buddy!"
82,Joey,Road trip!
83,Joey,"Yeah, we can rent a car!"
84,Joey,I just have to be there by Tuesday!
85,Phoebe,"Oh wait, my grandmother's dead."
86,Chandler,"Well, uh, we can talk about that too Pheebs."
87,Phoebe,No!
88,Phoebe,"No, her cab!"
89,Phoebe,She probably won't be using it; you can drive it to Las Vegas.
90,Joey,All right!
91,Joey,Thanks Pheebs!
92,Chandler,"Whoa-whoa-whoa, what are we going to do about my job?"
93,Joey,"Oh umm, not go."
94,Chandler,"All right, great, road trip baby!"
95,Chandler,This okay with you?
96,Monica,Chandler!
97,Monica,You don't have to ask for my permission.
98,Monica,You can go.
99,Chandler,Thank you.
100,Monica,"Hey Rach, come on!"
101,Monica,We're gonna be late for the eye doctor appointment!
102,Rachel,All right!
103,Rachel,Let's get this over with!
104,Rachel,Ugh!
105,Rachel,Ohhh!
106,Rachel,No!
107,Rachel,Look what I did!
108,Rachel,"Oh, I mean, look at this mess!"
109,Rachel,"I mean, we're probably gonna have to clean this up!"
110,Rachel,Y'know?
111,Rachel,We're gonna have to reschedule!
112,Monica,No.
113,Monica,"If you thought this mess is going to bother me, you are wrong!"
114,Monica,"All right, let's go Blinky!"
115,Monica,Chandler!!!
116,Phoebe,Oh hey Joey!
117,Phoebe,What's up?
118,Joey,I can't decide which route to take to Vegas.
119,Joey,"Hey, you've traveled a lot right?"
120,Phoebe,"Yeah, I've been around."
121,Joey,"Okay, so-so which route should I take the northern route or the southern route?"
122,Phoebe,"Ooh, if you take the northern route there's a man in Illinois with a beard of bees."
123,Phoebe,"{Okay, I must protest this, I've lived in Illinois all my life and know of no man with a beard of bees!"
124,Phoebe,"Wisconsin, on the other hand, might be a different story.}"
125,Joey,Great!
126,Joey,Problem solved!
127,Phoebe,But on the southern route there's a chicken that plays tic-tac-toe.
128,Joey,"Well, back to square one."
129,Phoebe,"Oh, I know a way that you can decide!"
130,Phoebe,"All right, I'm going to ask you a series of questions and you answer as quickly as you can."
131,Joey,Yes!
132,Phoebe,"Good, but wait."
133,Phoebe,"Okay, all right, here we go."
134,Phoebe,Now I want you to relax.
135,Phoebe,Take a deep breath.
136,Phoebe,Clear your mind.
