,Person,Said
0,Monica,"Okay, great!"
1,Monica,Bye.
2,Monica,So guess who's coming to Thanksgiving dinner?
3,Chandler,Sydney Portier?
4,Chandler,Hehheh.
5,Monica,I miss Rachel.
6,Monica,"No, my parents."
7,Chandler,Oh!
8,Chandler,"That's great, they haven't seen the place since I moved in!"
9,Monica,"Yeah, and y'know, if you could not mention to them that we live together, that would be great!"
10,Monica,", I was thinking we would eat around four."
11,Chandler,Why can't I tell them that we live together?
12,Monica,Because they don't know we're dating.
13,Monica,Do you think we should eat in the kitchen?
14,Chandler,Why haven't you told them?
15,Monica,"Um, well, I was going to, I-I-I really was."
16,Monica,"But um, then somewhere, just out of nowhere, I didn't."
17,Chandler,Why haven't you told them?!
18,Chandler,Wouldn't they be happy?
19,Monica,So!
20,Monica,Dinner in the kitchen around four!
21,Monica,I'll see you then.
22,Chandler,Why wouldn't they be happy?
23,Monica,"Well, um, because mainly, um, they don't like you."
24,Monica,I'm sorry.
25,Chandler,What?
26,Chandler,What?
27,Chandler,Why?
28,Monica,"Maybe because you used to be aloof, or that you're really sarcastic, or that, y'know, you joke around all the time."
29,Monica,Or that you take off your clothes and throw them on the couch.
30,Chandler,Is this why they don't like me or why you don't like me?
31,Monica,"Look, I know that I should've told them."
32,Monica,I know I shouldn't care what they think.
33,Monica,I'm sorry.
34,Chandler,"Y'know, it'll be okay."
35,Chandler,It'll be okay.
36,Chandler,"Because when they come over, I will be all charming, I will make them fall in love with me, and then we'll tell em."
37,Monica,You really think that'll work?
38,Chandler,"Hey, I can be pretty charming, babe, I won YOU over, didn't I?"
39,Monica,I don't think you'll ever get my parents that drunk!
40,Monica,Opening Credits
41,Chandler,Hey!
42,Chandler,"Oh, good, Ross!"
43,Chandler,"You're parents like me, right?"
44,Ross,"Yes, of course they like you!"
45,Chandler,Well Monica just told me that they don't.
46,Ross,"Yeah, they don't like you."
47,Chandler,Do you know why?
48,Ross,"I dunno, maybe it's because you're really sarcastic."
49,Ross,Or maybe it's cause you uh-
50,Chandler,Well if people don't know they shouldn't just guess!
51,Chandler,"This is great, another Thanksgiving with nothing to give thanks for."
52,Joey,"Maybe I could give thanks for you shuttin' up, eh?"
53,Chandler,Maybe I could give thanks by taking my Playstation over to my new apartment.
54,Joey,Well maybe I love ya'.
55,Chandler,Janine
56,Chandler,Hey.
57,Ross,"No I don't want to play video games, Joey!"
58,Joey,Yeah!
59,Joey,"Yeah, why?"
60,Joey,What's up?
61,Ross,For real?
62,Joey,"Ye-ye, we go to yours!"
63,Ross,"Yeah, see, we-we-we have to stop across the hall, because it's my sister."
64,Ross,"But, uh, uh y'know actually, growing up with a sister was nice because it really helped me understand women."
65,Ross,"Yeah, you-you should tell your friends that."
66,Joey,"How you got three women to marry you, I'll never know."
67,Phoebe,Hey!
68,Rachel,Hey!
69,Rachel,"Hey, Pheebs, check it out."
70,Rachel,"Yeah, for my desert, I have chosen to make a traditional English truffle!"
71,Phoebe,"Wow, that sounds great!"
72,Phoebe,"And what are you making Monica, in case Rachel's dessert is... so good that I eat all of it."
73,Phoebe,There's none left for anybody else!
74,Monica,Nothing.
75,Rachel,Nothing?
76,Monica,"No, sweetie, I-I trust you."
77,Rachel,"So, if-if I mess this up, there's nothing else for dessert?"
78,Monica,You're not gonna mess it up.
79,Rachel,"Wow, Monica, I love that, you really have faith in me."
80,Rachel,Thank you.
81,Rachel,"Technical question, how do you know when uh, the butter's done?"
82,Monica,"Well, it's done about two minutes before it looks like that."
83,Monica,Joey and
84,Ross,Hey!
85,Joey,"Oh, ooh the food smells great, Mon!"
86,Ross,And the place looks so nice!
87,Joey,"Yeah, hey hey, Happy Thanksgiving everybody!"
88,Ross,Happy Thanksgiving!
89,Ross,The
90,Joey,"Well, this has been great!"
91,Ross,See ya!
92,Monica,Whoa whoa whoa!
93,Monica,Where're you goin'?
94,Ross,"Oh, oh, we did say we'd stop by this little thing Joey's roommate is having."
95,Monica,"Oh, Janine, the really hot dancer girl?"
96,Ross,"Some would say she's attractive, yes."
97,Phoebe,And who else is going to be there?
98,Joey,"Uh, some of her friends, yeah."
99,Rachel,Her dancer friends?
100,Joey,"Yes, all right?"
101,Joey,"All of her hot dancer friends are gonna be there and they're gonna be, be drinkin' and dancin, and we really wanna go!"
102,Ross,"Dude, we were good!"
103,Monica,"You're not gonna go anywhere, you said you were gonna eat here, and you're gonna eat here!"
104,Phoebe,"Yeah, and-and leaving us to go see hot dancer girls is not very Thanksgivingy."
105,Ross,"Oh, but-but it is, uh, it's just like the first Thanksgiving, when the Indians and the Pilgrims uh, sat down to dinner."
106,Joey,"Yeah, yeah, and the Indians taught the Pilgrims what it meant to be hot in the new world!"
107,Joey,Mrs.
108,Monica,"Dad , Mom ."
109,Monica,Look!
110,Monica,Look who it is it's Chandler!
111,Monica,Mrs.
112,Chandler,"Mr. and Mrs. Geller, you look wonderful, it is great to have you hear, let us take off your coats!"
113,Chandler,"Whoa, snowing out there?"
114,Chandler,Mr.
115,Monica,"Dad, Chandler was just laughing at your joke."
116,Monica,Mr.
117,Phoebe,"Rach, Rach, I just remembered."
118,Phoebe,I had a dream about Mr. Geller last night.
119,Rachel,Really?
120,Phoebe,"Yeah, I dreamt that he saved me from a burning building and he was so brave and so strong!"
121,Phoebe,And it's making me look at him totally differently.
122,Phoebe,"Y'know, I mean he used to be just, y'know Jack Geller Monica and Ross's dad and now he's he's Jack Geller, dream hunk."""
123,Rachel,I dunno.
124,Rachel,"Y'know to me he'll always be Jack Geller, walks in while you're changing."
125,Monica,"Y'know dad, Chandler is one of Ross's very best friends!"
126,Chandler,"Yeah, Ross sure is a great guy, y'know I've always felt that how a young man turns out is a reflection on his father."
127,Chandler,Mr.
128,Chandler,He's the headliner of a gay burlesque show.
129,Joey,"Rach, you're killin' us here, will ya serve the dessert already?"
130,Joey,Those drunken dancers are waiting!
131,Rachel,"Look at it, isn't it beautiful?"
132,Ross,"Yeah, yeah, what is it?"
133,Rachel,It's a truffle.
134,Rachel,It's got all of these layers.
135,Rachel,"First there's a layer of ladyfingers, then a layer of jam, then custard, which I made from scratch,  then raspberries, more ladyfingers, then beef sauteed with peas and onions,  then a little more custard, and then bananas, and then I just put some whipped cream on top!"
136,Ross,W-What was the one right before bananas?
137,Rachel,The beef?
138,Rachel,"Yeah, that was weird to me, too."
139,Rachel,"But then, y'know, I thought well, there's mincemeat pie, I mean that's an English dessert, these people just put very strange things in their food, y'know."
140,Rachel,Oh!
141,Rachel,"by the way, can I borrow some Rum from your place?"
142,Joey,Y-sure!
143,Rachel,And while I'm gone don't you boys sneak a taste.
144,Rachel,Joey and
145,Ross,Okay.
146,Ross,Beef in a dessert?!
147,Ross,"I- no no no, there is no way!"
148,Joey,"I know, and only one layer of jam?!"
149,Joey,What is up with that?
150,Ross,"Oh my God, the pages are stuck together!"
151,Joey,Chandler!
152,Ross,"Oh My God, she-she made half a English Trifle, and half a...Sheperd's Pie!"
153,Joey,Oh man!
154,Joey,Now she's gonna start all over!
