,Person,Said
0,Joey,"Morning, roomie!"
1,Rachel,Hey!
2,Rachel,You remembered to put clothes on this morning.
3,Joey,Fifth day's a charm.
4,Rachel,"Oh, Joey, it's so great to be back here."
5,Rachel,"I gotta tell you, you're       making it so easy on me and Emma."
6,Joey,"Hey, it's great having you back."
7,Joey,"You know, stay as long as you want,       and when does she stop crying all night?"
8,Ross,"Hey, you're not naked!"
9,Ross,"So hey, Rach, when will we expect to see you       tonight?"
10,Rachel,"Well, I'll probably be back to pick her up around six, but she's       in the bedroom all ready to go."
11,Rachel,"But she did actually fall back to sleep,       so..."
12,Joey,She's probably exhausted from all that adorable screaming she did       last night.
13,Rachel,Bye!
14,Ross,Bye!
15,Ross,"Hey, I hope Emma isn't making it too hard on you."
16,Joey,"No, hey, it's been great."
17,Ross,Yeah?
18,Joey,Yeah.
19,Joey,"And look, I just want you to know that with Rachel staying       here and everything, all my feelings from before are totally over, okay?"
20,Joey,"And even if they weren't, when you accidentally walk in on a woman using       a breast pump..."
21,Ross,"Yeah, that'll do it."
22,Joey,Wow!
23,Joey,"So, how are you?"
24,Ross,"I'm, I'm okay."
25,Joey,Really?
26,Ross,"Sure, I mean, do I wish me and Rachel living together would have       worked out?"
27,Ross,Of course.
28,Ross,"You know, I'm disappointed, but it's not like it's       a divorce."
29,Joey,"Well, actually it..."
30,Ross,"No, it's not a divorce, it is not a divorce!"
31,Ross,"Anyway, I think Rachel       and I need to, you know, get on with our lives, maybe, maybe start seeing       other people."
32,Joey,"Wow, really?"
33,Ross,"Yeah, sure, why not?"
34,Ross,"In fact, if you know anyone that would be good       for me..."
35,Joey,"Sure, I know lots of girls."
36,Ross,Yeah?
37,Ross,Any names come to mind?
38,Joey,"Ooh, names?"
39,Joey,Opening credits.
40,Phoebe,Hey.
41,Joey,Hey.
42,Joey,I was just gonna get something to eat.
43,Joey,You want something?
44,Phoebe,What you got?
45,Phoebe,Joey
46,Phoebe,Goodie!
47,Phoebe,Thanks.
48,Phoebe,"So, how is it living with Rachel again?"
49,Phoebe,"I mean, apart       from the great food."
50,Joey,"I'm fine, I'm fine, it's just, it's just weird what's happening with       her and Ross."
51,Joey,"You know, yesterday he asked me to fix him up with somebody."
52,Phoebe,"Oh my god, Rachel asked me if I knew anyone for her too."
53,Joey,Why are they doing this?
54,Phoebe,I don't know.
55,Phoebe,They're so perfect for each other; it's crazy.
56,Joey,You know what's crazy?
57,Joey,These jars.
58,Joey,"What is it, like two bites in       here?"
59,Phoebe,I just wish they'd realise they should be together.
60,Joey,"I know, I know."
61,Joey,"And when they moved back in together, I figured y'know,       that's where things were headed."
62,Phoebe,I know.
63,Phoebe,They should be a family.
64,Phoebe,They should get married and have       more children.
65,Joey,"Yes, and they should name one of their kids Joey."
66,Joey,I may not have       kids; someone's gotta carry on the family name.
67,Phoebe,You know what?
68,Phoebe,"Maybe once they start dating, and they see what's       out there, they'll realise how good they are for each other."
69,Joey,"Yeah, because it is slim pickings."
70,Joey,I had this date last
71,Phoebe,"So, what are we gonna do?"
72,Phoebe,Are we just gonna go ahead and set them       up with people?
73,Joey,I know; that just pushes them further and further apart.
74,Phoebe,Yeah.
75,Phoebe,"Oh, I know what we can do."
76,Phoebe,"We could set Ross and Rachel       up on horrible dates, so that they'll realise how good they are together."
77,Joey,"Ooh, that's a great plan!"
78,Phoebe,"Yeah, you know what the best part of it is?"
79,Phoebe,"I get to do my ""plan-laugh."""
80,Joey,Shhh!
