,Person,Said
0,Phoebe,"...sprang to his sleigh, to his team gave a whistle;and away they all flew like the down of a thistle; but I heard him exclaim, ere he drove out of sight, ""Merry Christmas to all, and to all a goodnight!"""
1,Joey,"Wow, that was great!"
2,Joey,You really wrote that?
3,Phoebe,Uh-huh.
4,Chandler,"Say goodbye elves, I'm off to Tulsa."
5,Monica,I can't believe you're not gonna be here for Christmas.
6,Ross,You're really not coming back?
7,Chandler,"Yeah, we have all this paperwork that needs to be filed by the end of the year."
8,Chandler,"If I don't get it done, I'll be fired."
9,Monica,"It's so unfair, you don't even like your job!"
10,Chandler,"So, who does?"
11,Phoebe,"Oh, I like my job."
12,Joey,I *love* my job.
13,Rachel,"Yeah, I can't *wait* to go back to work."
14,Ross,I can't get *enough* dinosaurs!
15,Chandler,"I'm sorry, I won't be here."
16,Monica,It's just...
17,Monica,"It's hard enough not seeing you during the week, but for Christmas... alright, if this is what you have to do, I understand."
18,Chandler,Thanks.
19,Chandler,I'll see you New Year's Day.
20,Monica,You're not gonna be here New Year's Eve?
21,Chandler,Did I not mention that?
22,Monica,No!
23,Chandler,"(thinks for a second, then waves his arms,"
24,Chandler,"All right everybody, I know that it's Christmas Eve and you'd rather be with your families, but there's *no* call  for writing ""Screw you, Mr."
25,Chandler,"Bing!"""
26,Chandler,on the back of my chair!
27,Chandler,"-- By the way, you can all call me Chandler."
28,Chandler,Hey.
29,Chandler,Where've you been?
30,Chandler,You hear that?
31,Chandler,"You may not be with your families, but at least it's gonna smell like ham in here."
32,Chandler,"Y'know what, I know what will cheer you guys up!"
33,Chandler,"I had a little talk with the boys in New York, told 'em about all the hard work you've been doing and that a little Christmas bonus may be in order."
34,Chandler,"Well, that's like money in your pocket!"
35,Chandler,"- Alright look, you want me to say it?"
36,Chandler,This sucks.
37,Chandler,Being here sucks!
38,Chandler,This work sucks!
39,Chandler,I'm sorry.
40,Chandler,"Hey, at least you guys get to go home and be with your families tonight."
41,Chandler,I have to go back to an empty hotel room and lay down on a very questionable bedspread.
42,Chandler,"And then tomorrow morning, you get to have Christmas morning in your own houses, wich, by the way, none of you have invited me to."
43,Chandler,"Haha, no thanks!"
44,Chandler,"Oh, thanks!"
45,Chandler,I'm... actually thinking about becoming a motivational speaker.
46,Chandler,"Typical Christmas-y stuff, you know?"
47,Chandler,Our holidays are pretty traditional...
48,Phoebe,"So here is a, a very special holiday song that I wrote for some very important people to me."
49,Phoebe,"""Went to the store, sat on Santa's lap."
50,Phoebe,Asked him to bring my friends all kinds of crap.
51,Phoebe,Said all you need is to write them a song.
52,Phoebe,"Now, you haven't heard it yet, so don't try to sing along."
53,Phoebe,"No, don't sing along."
54,Phoebe,"Monica, Moncia, have a happy Hanukkah."
55,Phoebe,"Saw Santa Claus, he said hello to Ross."
56,Phoebe,"And please tell Joey, Christmas will be snowy!"
57,Phoebe,"And Rachel and Chandler, have err-umm-glander!!"""
58,Phoebe,"Happy holidays, everybody!"
59,Rachel,"Okay, Pheebs, you look in the kitchen, I will look in the back closet."
60,Chandler,"I can save you time ladies, I'm right here."
61,Phoebe,"Yeah, Chandler why don't you take a walk?"
62,Phoebe,This doesn't concern you.
63,Rachel,We are looking for our Christmas presents from Monica.
64,Chandler,What?
65,Chandler,That's terrible!
66,Phoebe,"No-no, we do it every year!"
67,Chandler,"Oh well, that, that makes it not terrible."
68,Phoebe,"No, yeah, we never find them!"
69,Phoebe,"She's always best at us, that wily... minx."
70,Rachel,"Don't worry, we're just gonna search here for an hour, and then we're gonna go over to Joey's and search, OK?"
71,Chandler,"No not okay, you can't look for Monica's presents!"
72,Phoebe,"Oh no, we have to!"
73,Chandler,"No, you don't have to, and you can't because I, I live here too."
74,Phoebe,"Well then, you should look with us."
75,Chandler,Why?
76,Rachel,"Chandler, aren't you worried about what to get Monica for Christmas?"
77,Chandler,"No, I have a great idea for a present for her."
78,Phoebe,"Oh, that's it?"
79,Phoebe,A great idea!
80,Phoebe,Oh yeah.
81,Rachel,"Chandler, that's not enough."
82,Rachel,"I mean what if she gets you a great present, two medium presents, and a bunch of little presents?"
83,Rachel,And you've just gotten her one great present?
84,Rachel,I mean that's just gonna make her feel bad.
85,Rachel,Why would you do that to her Chandler?
86,Rachel,Why?
87,Rachel,Why?
88,Chandler,"If I help, we can find 'em faster!"
89,Rachel,That's right!
90,Phoebe,"Ooh ooh, we have a live one!"
91,Rachel,"Oh, it's a Macy's bag!"
92,Rachel,Oh.
93,Phoebe,"Ooh, who's it for?"
94,Rachel,"""Dear losers, do you really think I'd hide presents under the couch?"
95,Rachel,P.S.
96,Joey,"Rach, these are for you."
