,Person,Said
0,Phoebe,Hey!
1,Phoebe,I got you a present!
2,Chandler,Oh my goodness!
3,Chandler,Where did you hide it?
4,Phoebe,"I got it for your wedding and I ordered it weeks ago, and it finally got  here!"
5,Chandler,Pheebs you didn't have to get us anything for our wedding you  already sang
6,Monica,I love it!
7,Monica,It's huge!!
8,Monica,Let's open it!
9,Monica,Open it!
10,Phoebe,It's a Ms. Pac-Man machine!
11,Monica,Oh my God!
12,Phoebe,I didn't know where to put it so I just left it here for now.
13,Monica,"Oh well, maybe we can put it in the guest bedroom."
14,Chandler,"Oh, okay."
15,Monica,All right.
16,Chandler,I kinda like it here.
17,Phoebe,Do you really like it?
18,Monica,Are you kidding?!
19,Monica,I practically spent my entire childhood at the arcade!
20,Monica,"This is likeOh my, this is like my second favorite game!"
21,Phoebe,Oh really?
22,Phoebe,What was your first?
23,Monica,Well I-I really don't remember the name of it.
24,Chandler,Well what did it do?
25,Monica,"Well, you justyou put a quarter in and y'know pull-pull some  handles and win like a candy bar or something."
26,Chandler,A vending machine?
27,Monica,Don't feel bad for me!
28,Monica,I won like every time!
29,Monica,Opening Credits
30,Ross,Hey!
31,Ross,"Oh, I'm so glad you guys are here."
32,Ross,I've been dying to tell  someone what happened in the Paleontology department today.
33,Joey,Do you think he saw us or can we still sneak out?
34,Ross,"Professor Neuman, the head of the department, so."
35,Rachel,They made you head of the department!
36,Ross,"No, I get to teach one of his advanced classes!"
37,Ross,Why didn't I  get head of the department?
38,Joey,Oh!
39,Joey,"Hey Rach, listen umm"
40,Rachel,Yeah.
41,Joey,"I got a big date coming up, do you know a good restaurant?"
42,Rachel,"Uh, Paul's Café."
43,Rachel,They got great food and it's really  romantic.
44,Joey,"Ooh, great!"
45,Joey,Thanks!
46,Rachel,Yeah!
47,Rachel,"Oh, and then afterwards you can take her to the Four Seasons  for drinks."
48,Rachel,Or you go downtown and listen to some jazz.
49,Rachel,Or dancingOh!
50,Rachel,Take her  dancing!
51,Joey,"You sure are naming a lot of ways to postpone sex, I'll tell ya"
52,Rachel,"Ooh, I miss dating."
53,Rachel,Gettin' all dressed up and going to a fancy  restaurant.
54,Rachel,"I'm not gonna be able to do that for so long, and it's so much fun!"
55,Rachel,I mean not that sitting at home worrying about giving birth to a sixteen pound baby is not  fun.
56,Joey,"Hey, y'know what?"
57,Rachel,Huh?
58,Joey,Why don't I take you out?
59,Rachel,What?!
60,Rachel,"Joey, you don't want to go on a date with a pregnant lady."
61,Joey,Yes I do!
62,Joey,"And we're gonna go out, we're gonna have a good time,  and take your mind off of childbirth and c-sections and-and giant baby heads stretching  out"
63,Rachel,Okay!
64,Rachel,I'll go with ya!
65,Rachel,I'll go!
66,Rachel,I'll go  with ya.
67,Joey,I'll be fun.
68,Rachel,All right?
69,Phoebe,No.
70,Phoebe,No!
71,Phoebe,Yes!
72,Phoebe,Ahh.
73,Phoebe,"Oh, would you look at that Monica?"
74,Phoebe,"I just knocked off  all of your top scores, how sad."
75,Monica,"Okay, I'm next."
76,Monica,Don't!
77,Monica,Don't start another game!
78,Monica,I said I'm next!
79,Monica,Phoebe!
80,Phoebe,"Oh, I'm sorry."
81,Phoebe,I didn't hear you over all the winning.
82,Monica,Chandler!
83,Monica,Phoebe's hogging the game!
84,Chandler,Who cares?
85,Chandler,It's a stupid game.
86,Monica,You only think it's stupid because you suck at it.
87,Chandler,I don't suck.
88,Chandler,It's sucks.
89,Chandler,You suck.
90,Phoebe,"Wait okay, if this game is gonna cause problems between the two of you,  then maybe I should just keep it."
91,Monica,No!
92,Monica,No-no!
93,Monica,I love it!
94,Monica,It is a great present!
95,Monica,"In fact, why don't you  go home and wait for the thank you card?"
96,Chandler,Why do you want to play this game so bad?
97,Phoebe,Yeah!
98,Phoebe,It's not like it spits out a Clark bar after every  game.
99,Monica,Okay.
100,Monica,Phoebe that's it.
101,Monica,"Come on, get outout of the chair."
102,Monica,Get  out!
103,Monica,Oh  comePhoebe!
104,Rachel,Joey?
105,Rachel,Could you get that?
106,Rachel,What are you doing here?
107,Rachel,I thought you were in your room?
108,Joey,"No, I'm picking you up for our date."
109,Joey,These are for you.
110,Rachel,"Ohh, Lilies."
111,Rachel,"Joey, they're my favorite."
112,Rachel,Thank you.
113,Joey,"And, a brownie!"
114,Joey,"Well, half a  brownie."
115,Joey,"Actually, it's just bag."
116,Joey,It's been a long walk from the flower shop and  I was startin' to feel faint so
117,Rachel,Oh man!
118,Rachel,This is so great!
119,Rachel,I actually feel like I'm going on a real  date!
120,Rachel,"Although, I have a hint of morning sickness, and I'm wearing underwear that  goes up to aboutthere."
121,Joey,"Hey come on now, this is a real date."
122,Joey,"Uh, sonice place you got here."
123,Joey,"Foosball, huh?"
124,Joey,Pizza box.
125,Joey,"Oh, a subscription to Playboy, my kind of woman."
126,Rachel,"Yeah, actually that's my roommate's."
127,Joey,I would like to meet him.
128,Joey,He sounds like a stand up guy.
129,Rachel,"Ah yes, but he's very protective of me so you'd better watch  yourself."
130,Joey,"Ah Hey, so this roommate of yoursis he good looking?"
131,Rachel,Hm-mmm.
132,Joey,"Oh yeah, it must be tough to keep your hands of him, huh?"
133,Rachel,"Yeah, but I'm pretty sure he's gay."
134,Joey,"No-no-no-no, he's not!"
135,Joey,No!
136,Joey,Why are you trying to ruin the game?
137,Joey,Come  on!
138,Ross,"which brings us back, of course, to Greely's theory of dominance."
139,Ross,"Okay, that-that's all for today."
140,Ross,"Oh, uh does anyone know where the  Freeman building is?"
141,Ross,What?!
142,Ross,"That-that's all the way cross town, I'm supposed to teach  a graduate seminar there in ten minutes."
143,Ross,Move it!
144,Ross,Move it!
145,Ross,Move it!!
146,Ross,Hey!!!
147,Ross,I'm the teacher!
148,Ross,Hello.
149,Ross,I'm  sorry I'm a little late.
150,Ross,AhWhoa!
151,Ross,A lot late.
152,Ross,"Let me  start by uh, by introducing myself, I am Professor Geller."
153,Ross,"So to sum up,  I'm Professor Geller."
154,Ross,Good job today.
155,Rachel,"Now the filet mignon, what comes with that?"
156,Rachel,Emmm.
157,Rachel,"Now, instead of the vegetables, is there anyway I can substitute  the three-pound lobster?"
158,Joey,Y'know what?
159,Joey,"Bring her both, and I'll have the same."
160,Rachel,Wow!
161,Rachel,"This is shaping up to be a pretty good dateOh, I almost  forgot."
162,Rachel,I didn't pay you the rent check.
163,Joey,"Oh whoa-whoa-whoa, no roommate stuff."
164,Joey,Okay?
165,Joey,We're on a date.
166,Rachel,Okay.
167,Rachel,Wow!
168,Rachel,So I get to see what Joey Tribbiani is like on a date.
169,Rachel,So do  you have any moves?
170,Joey,No!
171,Joey,No.
172,Joey,"Umm, just myself and if they don't like me for  I'm sorry I couldn't even get through that."
173,Rachel,I knew it!
174,Rachel,I knew it.
175,Rachel,Come on tell me your moves.
176,Joey,Oh alright.
177,Joey,"Umm, well, okay, I usually start by having a bottle of wine  sent to my table from a fan."
178,Rachel,Oh my God.
179,Rachel,And that works?
180,Joey,"Well it does when you combine it with, ""This is so embarrassing, I  just want to have a normal life!"""
181,Rachel,"Oh, you poor little famous man."
182,Joey,"Oh okay, how about this one."
183,Joey,"I was gonna wait until the end of the night  to kiss you, but you're so beautifulI don't think I can."
184,Rachel,Oh my God!
185,Rachel,Wow!
186,Rachel,"That was fantastic, I almost leaned  in."
187,Rachel,I really almost did!
188,Joey,"Alright, soso tell me one of your moves."
189,Rachel,Alright.
190,Rachel,So where'd you grow up?
191,Joey,That's your move?
192,Joey,"Boy Rach, you're lucky you're hot."
193,Rachel,"Come on, just answer the question!"
194,Joey,Queens.
195,Rachel,And so were-were you close to your parents?
196,Joey,"Yeah, with my mom."
197,Joey,"Yeah, not so much with my dad."
198,Rachel,Why not?
199,Joey,I don't know.
200,Joey,"I guess there's just always been this distance  y'knowI mean we both try to pretend it's not there, but it is."
201,Rachel,Oh.
202,Rachel,It's  gotta be rough.
203,Joey,"Yeah, it is."
204,Joey,It's really tough.
205,Joey,Y'know sometimes I  thinkWow!!
206,Joey,Nice move!
207,Rachel,Huh?
208,Joey,"""Where'd you grow up,"" it's so simple!"
209,Rachel,Thank you!
210,Rachel,"And now if you'll excuse me, I have to go to the rest  room."
211,Joey,Yeah.
212,Rachel,And now you're watching me walk away.
213,Joey,Yes I am!
214,Joey,Again so simple!
215,Monica,Hey.
216,Chandler,You are not going to believe what I did today!
217,Monica,Well it clearly wasn't showering or shaving.
218,Chandler,I got good.
219,Chandler,I played this game all day and now I rule at it!
220,Chandler,They  should change the name of it to Ms. Chandler.
221,Chandler,Although I-I hope they don't.
222,Monica,"Wait a minute, you stayed home all day and played Ms. Pac-Man  while I went off to work like some kind of chump?"
223,Chandler,"Uh-huh, and I got all the top ten scores, I erased Phoebe off the  board!"
224,Chandler,High five!
225,Monica,What is the matter with your hand?
226,Chandler,"Well I've been playing it for like eight hours, it'll loosen  up."
227,Chandler,"Come on, check out the scores."
228,Chandler,"Oh, and also look at the initials, they're dirty  words."
229,Monica,"Chandler, why would you do that?"
230,Chandler,Because it's awesome.
231,Monica,You think this is clever?
232,Chandler,"Well y'know, they only give you three letters, so after A-S-S it  is a bit of a challenge."
233,Monica,"Hey wait a minute, this one isn't dirty."
234,Chandler,It is when you put it together with that one.
235,Monica,"Ah, well if you don't clear this off, you won't be getting one  of those from me."
236,Monica,"But Ben's coming over here tomorrow to play this game, this  can't be there."
237,Chandler,"Come on, he won't even know what they mean."
238,Monica,Chandler!
239,Monica,He's seven; he's not stupid.
240,Chandler,Have you talked to him lately?
241,Monica,"All right, look I'm just gonna unplug it."
242,Chandler,"No-no-no, if you unplug it, I'll have nothing to show for my day!"
243,Chandler,It would be like I was at work.
244,Chandler,No!
245,Chandler,Hey look at  that!
246,Chandler,"Look at that, it's still there!"
247,Chandler,This thing must have some kind of primitive ROM   Chip in it or something!
248,Monica,Honey you-you got to beat your scores!
249,Chandler,With the claw?
250,Monica,All right fine.
251,Monica,"Fine, I'll do it."
252,Monica,I've just got to get this  off the screen.
253,Monica,Carol and Susan are still upset that you taught him pull my finger.
254,Chandler,Pull my fingerMy hand is  messed up.
255,Rachel,I am not gonna answer that!
256,Joey,Oh come on!
257,Joey,Just pick one!
258,Joey,"Between Monica, Phoebe, Chandler, and Ross if  you had to, if you had to, who would you punch?"
259,Rachel,No one!
260,Rachel,"They are my friends, I wouldn't punch any of them."
261,Joey,Chandler?
262,Rachel,"Yeah, but I don't know why."
263,Rachel,"Look at me, I'm having such a  wonderful time!"
264,Joey,Me too!
265,Joey,"Hey Rach, can I just say I think this is the best date I ever had!"
266,Rachel,I know!
267,Joey,I never laughed so hardDid you see the wine come out of my nose?
268,Rachel,"Joey, I think everyone saw the wine come out of your nose."
