,Person,Said
0,Chandler,Hey.
1,Monica,What's the matter?
2,Chandler,Someone on the subway licked my neck!
3,Chandler,Licked my neck!
4,Phoebe,Oh Willie's still alive!
5,Chandler,What are you guys doing?
6,Monica,"Oh, my mom called, they're gonna run our engagement announcement in the local paper, so we're looking for a good picture of us."
7,Chandler,"Oooh, I'm afraid that does not exist."
8,Monica,"That's not true, there are great pictures of us!"
9,Chandler,"No, there are great pictures of you standing next to a guy who's going like this"
10,Phoebe,Oh my God!
11,Phoebe,That's the creep that you're with at the Statue of Liberty.
12,Chandler,"I don't know what it is, I just can't take a good picture."
13,Monica,"Oh, here's a great one."
14,Chandler,"Yeah, I'm not in that."
15,Monica,"I know, but look at me all tan."
16,Phoebe,"Hey, why don't you guys go, get portraits done by a professional photographer."
17,Monica,That's a good idea!
18,Monica,I bet they have one of those wind machines!
19,Monica,Y'know
20,Phoebe,Yeah that's great!
21,Phoebe,"Next to that, Chandler won't look so stupid."
22,Monica,Chandler what do you say?
23,Chandler,"All right, but I should warn you, I'm not going."
24,Chandler,I'm going.
25,Chandler,Opening Credits
26,Ross,"Dude, that reverse lay-up!"
27,Ross,Oh
28,Chandler,How about those three pointers?
29,Ross,Amazing!
30,Chandler,And those guys were this  close to lettin' us play this time too.
31,Rachel,"Hey look-look, Phoebe's talking to uh, Cute Coffeehouse Guy."
32,Ross,"Oh, you guys call him Cute Coffeehouse Guy, we call him Hums While He Pees."
33,Chandler,"Yes, and we call Ross Lingers In The Bathroom."
34,Phoebe,"Hey you guys, Hums While He Pees just asked me out!"
35,Rachel,"Hey, I thought that guy was married."
36,Phoebe,He is!
37,Phoebe,But he's getting divorcedRoss!
38,Phoebe,Maybe you know him.
39,Ross,It's not a club.
40,Rachel,"Phoebe, if this guy's going through a divorce, is it such a good idea to start going out with him?"
41,Ross,"Hey, divorced men are not bad men!"
42,Chandler,They have that on the napkins at the club.
43,Rachel,"Oh, I gotta get back to work."
44,Phoebe,You don't have to be back for a half-hour!
45,Rachel,"Yeah but, my assistant Tag does sit-ups in the office during lunch."
46,Rachel,Ohh!
47,Rachel,I could just spread him on a cracker.
48,Chandler,"Rach, if you have a crush on this guy, why would you hire him?"
49,Chandler,I mean y'know you can't date him right?
50,Rachel,"Oh no, I know that."
51,Rachel,I know that.
52,Rachel,"Although, we made a joke that we spend so much time together he should call me his work wife."
53,Ross,"Soon he'll be able to call you, that lady he knew who got fired."
54,Rachel,"I am not gonna get fired, because I'm not gonna act on it."
55,Phoebe,So you wouldn't mind if he was dating someone else?
56,Rachel,Why?
57,Rachel,Is he?
58,Rachel,He is!
59,Rachel,Isn't he?
60,Rachel,He's dating that slut in marketing!
61,Ross,Maybe I should open a divorced men's club.
62,Chandler,Dude that is so sad.
63,Ross,I could put uh-uh a basketball court in the back.
64,Chandler,Could I play?
65,Rachel,"Oh, no sit-ups today Tag?"
66,Rachel,"Oh, well drop and give me ten more!"
67,Rachel,"Uh, I-I had a drink with lunch."
68,Rachel,Did those cost reports come in?
69,Rachel,"Oh, great could you make me four copies of those?"
70,Rachel,"Ahh, hi!"
71,Rachel,Hi!
72,Rachel,"Melissa, what's up?"
73,Rachel,"I'm just uh, about to umm, go out to the store to get some stuff to put in my backpack."
74,Rachel,"Y'know, like dried fruit and granola and stuff."
75,Rachel,What's up?
76,Rachel,No.
77,Rachel,Why?
78,Rachel,Really?!
79,Rachel,Got a little crush on Tag there do ya?
80,Rachel,"Okay, whoa-whoa easy there Melissa!"
81,Rachel,"This ain't a locker room, okay?"
82,Rachel,"But, y'know I remember him saying that-that he had plans tonight."
83,Rachel,Oh yeah.
84,Rachel,"All right, back to work."
85,Rachel,"Yeah Melissa, I don't want to be known as the uh, office bitch, but I will call your supervisor."
86,Chandler,Okay.
87,Chandler,The
88,Chandler,"No, I am."
89,Monica,"Chandler, listen to me sweetie, I know you can do this."
90,Monica,Okay?
91,Monica,You have a beautiful smile.
92,Chandler,I do?
93,Monica,Yeah!
94,Monica,"All right, maybe you don't have to smile."
95,Monica,Let's try something else.
96,Monica,"Let's try umm, try looking sexy."
97,Chandler,Okay.
98,Monica,Or not.
99,Rachel,Hi Joey!
100,Rachel,What are you doing here?
101,Joey,"Uhh, well I've got an audition down the street and I spilled sauce all over the front of my shirt."
102,Joey,You got an extra one?
103,Rachel,"Yeah, sure."
104,Rachel,Ummhere.
105,Joey,Great.
106,Joey,You got anything that's not Ralph Lauren?
107,Rachel,"Yeah, I don't think so Joe."
108,Joey,"All right, I guess this will be fine."
109,Rachel,"Hey, listen umm, what-what are you doing tonight?"
110,Joey,"Nothing, why?"
111,Rachel,How would you feel about taking out my assistant Tag?
112,Rachel,I'll pay.
113,Joey,"Huh, Rach I got to say it's gonna take a lot of money for me to go out on a date with a dude."
114,Rachel,I'm not asking you to go on a date with him!
115,Joey,Really?
116,Joey,Cause I could kinda use the money.
117,Rachel,"Joey, just-just he-he's new in town and I know he doesn't have any guy friends."
118,Rachel,Just take him to like a ball game or something.
119,Rachel,I'll really appreciate it.
120,Joey,"Yeah, okay."
121,Rachel,Yeah?
122,Joey,"Sure, no problem."
123,Joey,"OohHey, donuts!"
124,Rachel,Yeah!
125,Joey,Okay.
126,Monica,I know.
127,Monica,Let's try a lookof far offwonderment.
128,Monica,"Okay, we'll-we'll gaze into our future and we'll think about our marriage and the days to come."
129,Monica,Chandler!
130,Monica,What is the matter with your face?!
131,Monica,"I mean this picture is supposed to say ""Geller and Bing to be married,"" not ""Local woman saves drowning moron!"""
132,Monica,Hey!
133,Monica,Don't laugh at him!
134,Monica,He's my drowning moron!
135,Chandler,Aww!
136,Monica,That's it!
137,Monica,Take it!
138,Monica,Take it!
139,Monica,Take it!
140,Ross,I like this one.
141,Ross,"It seems to say, ""I love you and that's why I have to kill you."""
142,Monica,They can't all be bad.
143,Monica,Find the one where you make your bedroom eyes.
144,Monica,"Ohh, there it is."
145,Chandler,Oh my God!
146,Chandler,Those are my bedroom eyes?!
147,Chandler,Why did you ever sleep with me?
148,Monica,Do you really want to pull at that thread?
149,Phoebe,I'm having a really good time!
150,Phoebe,Hums While He
151,Phoebe,Ohh.
