,Person,Said
0,Joey,"There's this woman, that I like."
1,Joey,A lot.
2,Joey,"Well, it's complicated."
3,Joey,She's with this other guy.
4,Joey,For a long time.
5,Joey,"And I could never do that to the guy, y'know?"
6,Joey,'Ccause we're really good friends.
7,Ross,"So, uh, this guy, she used to go out with, is, uh is he a good guy?"
8,Joey,"Yeah, he's the best."
9,Ross,Then talk to him!
10,Ross,He might be fine with it.
11,Joey,"Oh, I don't know."
12,Ross,"Joey, it's worth finding out."
13,Ross,"I mean, if you really like her."
14,Joey,I do!
15,Joey,So much!
16,Joey,I can't stop thinking about her!
17,Joey,"I can't sleep, I"
18,Ross,"Okay, Joey, you know what?"
19,Ross,You have to go for it.
20,Ross,"How often does this happen to you, huh?"
21,Ross,You owe it to yourself.
22,Joey,It's Rachel.
23,Ross,"Did you umI'm sorry, did you just say it's Rachel?"
24,Joey,Yes.
25,Ross,"Um, youyou like Rachel?"
26,Joey,Yes.
27,Joey,I like Rachel.
28,Ross,Rachel?
29,Joey,"Yeah, okay but look, buy uhHey-hey, y'know, y'know who else I like?"
30,Joey,You!
31,Joey,And it-it doesn't get said enough.
32,Joey,I like you Ross.
33,Ross,But R-R-Rachel-Rachel?
34,Joey,"Yeah, but it's not a big deal."
35,Ross,It's not a big deal?
36,Ross,"Oh, I'm sorry I justum, Iwhat about all the stuff you-you just said?"
37,Ross,"I mean how about, I likeyou-you can't stop thinking about her."
38,Ross,Like how you can't sleep?
39,Joey,"I'm an actor, y'know?"
40,Joey,"As-as a group, we tend to be over dramatic."
41,Ross,Rachel who's carrying my baby?
42,Ross,Rachel?
43,Joey,"Look no, I-I know it's bad, and I know it's wrong."
44,Joey,Okay?
45,Joey,But-but it's not like anything's ever gonna happen.
46,Joey,Y'know?
47,Joey,"These-these are just feelings, they're gonna go away."
48,Ross,Y'know what?
49,Ross,I-I gotta go.
50,Joey,Oh come on Ross!
51,Joey,Hey Ross-Ross don't
52,Ross,I justy'knowI-I just have oneRachel?
53,Rachel,Oh-oh!
54,Rachel,"Okay, she's kicking!"
55,Chandler,Oh!
56,Chandler,She's growing inside you.
57,Rachel,Whoa!
58,Chandler,Oh!
59,Rachel,Wow that was a big one.
60,Chandler,I think that's the youngest girl ever to reject me.
61,Phoebe,Oh hey you guys!
62,Chandler,Oh hey!
63,Rachel,Hi!
64,Phoebe,"Hey listen let me ask you, do you believe in soul mates?"
65,Rachel,Oh yes I do.
66,Rachel,I do.
67,Rachel,I believe that there is one perfect person out there for everyone.
68,Rachel,And do you know how you find him?
69,Rachel,You stop looking for him.
70,Rachel,That's why I stopped looking for Russell Crowe.
71,Rachel,He'll find me.
72,Phoebe,"Uh-huh,  and you?"
73,Chandler,No.
74,Chandler,"I mean I believe that uh, certain people are more suited for each other and I believe in falling in love, but soul mates, I don't think they exist."
75,Phoebe,"Okay, good."
76,Chandler,Why?
77,Phoebe,"Well last night, I met Monica's."
78,Chandler,What?
79,Phoebe,"Yeah, I had a date with this guy, and I swear to God, he is her other half."
80,Chandler,"Come on, don't be crazy."
81,Chandler,"You don't think there's someone out there better suited for Monica than me, do ya?"
82,Rachel,"Well, what's he like?"
83,Phoebe,Well he's tall.
84,Rachel,Uh-huh.
85,Phoebe,He has brown hair.
86,Rachel,"Of course, of course."
87,Chandler,"A tall guy with hair similar to mine, oh unknowable universe!"
88,Phoebe,He works with food!
89,Rachel,Oh sure.
90,Rachel,Older?
91,Phoebe,"Obviously, and he's British."
92,Rachel,"Oh, I was just gonna ask!"
93,Phoebe,Yeah?
94,Phoebe,"And, he's-he's so centered and mature and confident."
95,Rachel,"Oh, it's so sad they never had a chance to meet."
96,Chandler,"Luckily, the guy she settled for can't hear what you're talking about."
97,Phoebe,"Oh, I'm so sorry."
98,Phoebe,"Um, and maybe I'm wrong!"
99,Phoebe,"I buty'know I'm gonna go out with him again, I'll find out more."
100,Chandler,You believe that this guy is destined for someone else and you're still gonna date him?
101,Phoebe,"Well, he may not be my soul mate, but a girl's gotta eat."
102,Monica,Hey.
103,Ross,Hey.
104,Monica,"I just talked to Joey, I justI want to see how you were."
105,Ross,"Oh y'know, I stillI can't believe it."
106,Ross,"Joey and Rachel I mean it's It's like you and me going out, only weirder!"
107,Monica,"All right, I know you're hurting, and-and I want to be supportive, but don't say that again."
108,Ross,Oh my God!
109,Ross,"What if, what if they get married?"
110,Ross,Then he'd be the stepfather of my child.
111,Monica,"Honey, I don't think that's something we need to worry about!"
112,Monica,First of all he's-he's never gonna tell her how he feels about her.
113,Monica,And even if he did you have no idea how she'd react.
114,Ross,"Sure, because women never like Joey."
115,Ross,"Y'know, I think he's a virgin."
116,Monica,Joeyhe's not even thinking about going after Rachel!
117,Ross,He's not?
118,Monica,No!
119,Monica,All he's thinking about is how you're taking this!
120,Monica,"I mean, listen it's totally freaking him out."
121,Monica,He's talking about moving to Vermont.
122,Ross,Why?
123,Monica,He says he wants to leave the country.
124,Monica,He thinks you hate him.
125,Ross,Hate him?
126,Ross,"I No, I don't hate him."
127,Ross,"It's just it's Rachel, y'know?"
128,Monica,Honey I can't even imagine how hard this must be for you.
129,Monica,"But, I don't want you to lose Joey over it."
130,Monica,And right now he just needs to know that you're still his friend.
131,Ross,Okay.
132,Ross,"Okay, I'll talk to him."
133,Monica,All right.
134,Monica,"Now do it soon, he just asked me how to convert his dollars into Vermont money."
135,Phoebe,Oh!
136,Phoebe,Hi!
137,Monica,Hi!
138,Phoebe,"Umm, Chandler, Monica, this is Don."
139,Phoebe,Soul mate.
140,Chandler,What?
141,Phoebe,Soul mate.
142,Monica,"So, what have you guys been doing?"
143,Monica,I know!
144,Monica,"What is this, 1985?"
145,Monica,Not really.
146,Chandler,What's wrong with sun-dried tomatoes?
147,Chandler,On a barbecue chicken pizza?
148,Chandler,No?
149,Monica,"So Don, what-what other restaurants do you like?"
150,Monica,Oh my God!
151,Monica,"That's my restaurant, I'm the chef there."
152,Monica,No!
153,Monica,"Oh, I'd like a latte."
154,Monica,Oh y'know what?
155,Monica,"If you're gonna talk about me, I'm gonna go with you."
156,Chandler,What are you doing?
157,Phoebe,Nothing!
158,Phoebe,I swear to God I didn't know you guys would be here!
159,Phoebe,And the good news is you didn't believe in soul mates.
160,Phoebe,So
161,Chandler,"I believe in tall, handsome strangers who hit on my wife!"
162,Phoebe,"They're just talking, and y'know what?"
163,Phoebe,Just because I think they're soul mates doesn't mean anything's gonna happen.
164,Monica,"Phoebe, good work."
165,Phoebe,Yeah?
166,Monica,Yeah!
167,Monica,"Oh he's great, I love him."
168,Phoebe,"Don't worry, we'll find you someone else."
169,Joey,Hey.
170,Ross,Hey.
171,Joey,"Look, I understand if you came by to hit me, I deserve it."
172,Ross,"No, I don't want to hit you."
173,Joey,Oh what then?
174,Joey,Kick me?
175,Ross,No.
176,Joey,Bite me?
177,Ross,"No, no I don't want to do anything to you."
178,Ross,All right?
179,Ross,I just want to tell you that I'm not mad at you andand that I certainly do not hate you.
180,Ross,"I just, I just came here to say that."
181,Joey,Oh nowHey Ross-Ross!
182,Joey,Do you wanna-wanna come in for a beer or something?
183,Ross,Uhyeah sure.
184,Joey,"Do uh, do you got any beer?"
185,Joey,All-all I got is this melon stuff that Rachel left.
186,Joey,I don't
187,Ross,Okay.
188,Joey,"Hey look Ross, you need to understand something okay?"
189,Joey,"I uhI am never gonna act on this Rachel thing, okay?"
190,Joey,I-I would never do anything to jeopardize my friendship with you.
191,Ross,Thank you.
192,Joey,"Anyway, it uhlook it'll justtake me a while to get over her, that's all."
193,Joey,"I'm not even sure how to do that, I mean I've never been in love before so"
194,Ross,What?!
195,Ross,You're in love with her.
196,Joey,"Yeah, I thought you knew that."
197,Ross,"Umm, no."
198,Joey,Wow.
199,Joey,"Hey look, if it helps, I don't want to feel this way."
200,Joey,Honest.
201,Joey,"I just keep thinking, ""Ah, I'll get over this."""
202,Joey,Y'know?
203,Joey,I justIt just keeps gettin' harder.
204,Joey,"I don't, I don't know what to do."
205,Joey,Y'know?
206,Joey,What do I do?
207,Ross,I think you need to tell her how you feel.
208,Joey,Okay that's the green stuff talkin'.
209,Ross,"No, I'm serious."
210,Ross,"You-you need to find out where she is, because if she's not where you are, then you can start to move past this."
211,Joey,But what if uhand I'm not saying she will beBut
212,Ross,If she is where you are then uhthen my feeling weird about it shouldn't stand in the way.
213,Joey,Are you sure?
214,Ross,Yeah.
215,Ross,"Look if-if she's gonna end up with somebody else, the truth is she couldn't find a better guy."
216,Ross,So
217,Joey,Hey thanks.
218,Ross,So when do you think you're gonna talk to her?
219,Joey,Oh my God I have to tell her!
220,Joey,I haven't even thought about what I will say.
221,Joey,What should I say?
222,Ross,"I'm understanding, but let's not get carried away."
223,Joey,"I'm sorry, you're right."
224,Joey,What am I gonna say?
225,Joey,Oh!
226,Ross,"Yeah, tell me about it."
227,Ross,Commercial Break
228,Chandler,Cheese you say?
229,Chandler,"That's some pretty smelly work, huh Don?"
230,Chandler,"Cheese, it's smelly."
231,Chandler,You must smell a lot of the time too.
232,Monica,Me too!
233,Monica,"Yeah, Chandler can't stand it."
234,Monica,He won't even allow me to have blue cheese in the house.
235,Monica,You know what I'd love to do?
236,Monica,"I would like to go to France and eat nothing but bread and cheeseNot even bread, just cheese."
237,Monica,"No, I want the bread."
238,Monica,Yeah.
239,Monica,"Ah, and pastries  And pate."
240,Monica,"Oh, I'm really not high, it's just I used to be fat."
241,Chandler,Is it made of cheese?
242,Monica,I'd move in tomorrow!
243,Chandler,Oh come on!
244,Chandler,Are you listening to this?
245,Phoebe,I'm so sorry.
246,Chandler,What do we do?
247,Phoebe,"I don't know, they both want to live in a house of cheese!"
248,Phoebe,I don't know how you fight that.
249,Joey,Okay.
250,Joey,"Okay, I can do this."
251,Joey,I can tell her how I feel.
252,Joey,"Just uh, just stand up straight."
253,Joey,Take a couple deep breaths.
254,Joey,Look confident.
255,Rachel,Joey?
256,Rachel,What's up?
257,Joey,"I uh, I just came by because I-I want to talk to you about something."
258,Rachel,Okay what's up?
259,Joey,Here?
260,Joey,In the hall?
261,Joey,What are we animals?
262,Rachel,"Well honey, I'm late for a meeting."
263,Rachel,So can you just make it quick?
264,Joey,"Okay umm, I just came by to tell you that Iwant to have dinner with you tonight."
265,Joey,That's all.
266,Rachel,Sure!
267,Rachel,That sounds great!
268,Rachel,Just leave me a message and tell me where to meet you.
269,Rachel,Okay?
270,Joey,Okay.
271,Joey,That's good.
272,Joey,"Okay, that give you a couple hours to prepare what you're gonna say."
273,Joey,Good.
274,Joey,Yeah.
275,Joey,Don't you people ever knock?
276,Monica,I'd like to have Don and Phoebe over.
277,Monica,Wouldn't that be nice?
278,Chandler,"Sure, why don't you set it up."
279,Chandler,"I'll just be over here, browsing through the personals."
280,Monica,Are you okay?
281,Monica,You've been acting weird all afternoon.
282,Chandler,"Yeah, fine."
283,Chandler,Fine.
284,Chandler,Not perfect!!
285,Chandler,But good enough.
286,Monica,Jeez!
287,Monica,What is with you?
288,Chandler,"I'm sorry, did you say cheese?"
289,Monica,"All right, what's going on?"
290,Chandler,"Phoebe thinks you and Don are soul mates, and I don't believe in that kind of stuff."
291,Chandler,But then you two totally get along.
292,Chandler,"So look, I won't stand in your way if you want to run off with Don and live in a house of cheese."
293,Monica,"Chandler, you don't believe in soul mates?"
294,Chandler,No.
295,Chandler,But I'm sure  tomatoes' does.
296,Monica,I don't believe in soul mates either.
297,Chandler,You don't?
298,Monica,No.
299,Monica,I don't think that you and I were destined to end up together.
300,Monica,I think that we fell in love and work hard at our relationship.
301,Monica,Some days we work really hard.
302,Chandler,So youyou don't want to live with Don in a cheese house?
303,Monica,"No, I've had second thoughts about that."
304,Monica,Do you realize how hard that would be to clean?
305,Chandler,I love you.
306,Monica,I know.
307,Chandler,Y'know what?
308,Chandler,I am going to take you out to dinner tonight.
309,Chandler,I found this place that makes the greatest mozzarella sticks and jalepino poppers .
310,Chandler,No?
311,Chandler,Really?
312,Chandler,They taste so good.
313,Rachel,and I know Chandler is kidding but it happens every time he touches my stomach.
314,Rachel,I mean I'm really worried the baby's not going to like him.
315,Rachel,Are you okay?
316,Joey,What?
317,Joey,Yeah!
318,Joey,Sure!
319,Joey,"Uh, look at the uh, the reasonIs it hot in here?"
320,Rachel,No.
321,Rachel,"Not-not for me, but why don't you take off your sweater?"
322,Joey,"I would, but this is a nice place and my T-shirt has a picture of Calvin doing Hobbs."
323,Rachel,Oh my God!
324,Rachel,Really?!
325,Rachel,Can I see it?
326,Joey,Yeah.
327,Joey,Sure.
328,Rachel,Huh.
329,Rachel,"Wow, I wouldn't think Hobbs would like that so much."
330,Joey,Uh How long have we known each other?
331,Rachel,"Um, sevene-e-eight, eight years."
332,Rachel,Wow.
333,Joey,"Uh-huh, long time."
334,Rachel,Yeah.
