,Person,Said
0,Ross,"Hey, what's going on?"
1,Chandler,Hey.
2,Ross,"I found a note on my door, ""Come to Monica's quick, bring champagne and a Three Musketeers bar."""
3,Joey,Yeah I'll take that.
4,Ross,What's up?
5,Chandler,Monica and I are engaged.
6,Ross,Oh my God.
7,Ross,Congratulations.
8,Chandler,Thanks.
9,Ross,Where is she?
10,Monica,I'm engaged!!!!!!
11,Monica,I'm engaged!!!
12,Joey,"Yeah, she's been out there for twenty minutes, I'm surprised you didn't hear her on the way over."
13,Ross,"Oh, I thought it was just a kid yelling, ""I'm gay!"
14,Ross,"I'm gay!"""
15,Ross,Can I bring her in?
16,Phoebe,"Oh no, let her stay out there."
17,Phoebe,It's sweet.
18,Monica,I'm getting married!!!!
19,Monica,I'm gonna be a bride!!!!
20,Monica,"No, I will not shut up because I'm engaged!"
21,Monica,"Ohh, big talk!"
22,Monica,"Huh, why don't you come over here and say that to me?!"
23,Monica,"Huh, buddy?!"
24,Monica,"Yeah, my fiancee will kick your ass!"
25,Monica,"Come on, apartment 20!"
26,Monica,Apartment 20!
27,Chandler,"Okay, you get her in here."
28,Chandler,You bolt the door.
29,Chandler,I'll be in the closet.
30,Chandler,Opening Credits
31,Monica,Okay!
32,Monica,Wait-wait-wait!
33,Monica,Shhh!
34,Monica,"Okay, umm, I just wanna say thatI love you guys so-so much and-and thank you for being here on my special night."
35,Monica,Our special night.
36,Monica,"I mean it just wouldn't be myour-our night, if you all weren't here to celebrate with meusDamnit!"
37,Chandler,"It's okay, I want this to be your night too."
38,Chandler,To Monica.
39,Monica,"Awww, come onwaitstop it."
40,Monica,"Okay, to Monica."
41,Chandler,To Monica!
42,Phoebe,So have you decided on a band for the wedding?
43,Phoebe,"Because, y'know, I'm kinda musical."
44,Rachel,"Yeah Pheebs, honey, she just got engaged a couple of hours ago."
45,Rachel,I doubt she's even had time to
46,Phoebe,"Well speaking of chiming in, remember the time you burned down my apartment?"
47,Rachel,"Yeah, you're on your own."
48,Monica,Y'know what we should do?
49,Monica,We should all get dressed up and go to have champagne at The Plaza.
50,Joey,"But I-I-I can't stay too long, I gotta get up early for a commercial audition tomorrow and I gotta look good."
51,Joey,I'm supposed to be playing a 19-year-old.
52,Joey,What?
53,Chandler,"So when you said, ""Get up early,"" did you mean 1986?"
54,Joey,You guys don't think I look 19?
55,Phoebe,"Oh, 19!"
56,Phoebe,We thought you said 90!
57,Monica,"Okay everybody, let's go!"
58,Monica,Let's go!
59,Rachel,Okay.
60,Chandler,Okay.
61,Joey,"Hey, is uh the rest of my candy bar around here?"
62,Phoebe,"Oh honey no, you ate it all."
63,Joey,I was afraid of that.
64,Monica,Y'know what shoes would look great with this ring?
65,Monica,Diamond shoes!
66,Monica,You're not getting dressed.
67,Chandler,Know what I mean?
68,Monica,"Yeah, but I don't think we have time."
