,Person,Said
0,Rachel,Coffee.
1,Joey,Thank you.
2,Rachel,Cappuccino.
3,Ross,Grazie.
4,Rachel,And a nice hot cider for Monica.
5,Monica,"Aww, thank you."
6,Monica,Uh Rach?
7,Rachel,Yeah?
8,Monica,Why does my cinamon stick have an eraser?
9,Rachel,Oh!
10,Rachel,That's why.
11,Rachel,I'm sorry!
12,Rachel,Opening Credits
13,Chandler,Mrs. Tedlock.
14,Chandler,You're looking lovely today.
15,Chandler,"And may I say, that is a very flattering sleeve length on you."
16,Chandler,Mrs.
17,Chandler,"Oh, listen."
18,Chandler,"If this is about those prank memos, I had nothing to do with them."
19,Chandler,Really.
20,Chandler,Nothing at all.
21,Chandler,Really.
22,Chandler,Nothing.
23,Phoebe,Hey you guys!
24,Phoebe,"Chandler's coming and he says he has, like, this incredible news, so when he gets here, we could all act like, you know..."
25,Chandler,Hey!
26,Phoebe,Never mind.
27,Phoebe,But it was going to be really good.
28,Ross,What's going on?
29,Chandler,"So, it's a typical day at work."
30,Chandler,"I'm inputting my numbers, and big Al calls me into his office and tells me he wants to make me processing supervisor."
31,Chandler,So....
32,Chandler,I quit.
33,Chandler,Why?
34,Chandler,This was supposed to be a temp job!
35,Monica,"Yeah, Chandler... you've been there for five years."
36,Chandler,"If I took this promotion, it'd be like admitting that this is what I actually do."
37,Phoebe,So was it a lot more money?
38,Chandler,It doesn't matter.
39,Chandler,I just don't want to be one of those guys that's in his office until twelve o'clock at night worrying about the WENUS.
40,Rachel,... the WENUS?
41,Chandler,Weekly Estimated Net Usage Systems.
42,Chandler,A processing term.
43,Rachel,Oh.
44,Rachel,That WENUS.
45,Joey,So what're you going to do?
46,Chandler,I don't know.
47,Chandler,That's the thing.
48,Chandler,I don't know what I want to do.
49,Chandler,I just know I'm not going to figure it out working there.
50,Phoebe,Oooh!
51,Phoebe,I have something you can do!
52,Phoebe,I have this new massage client... Steve?
53,Phoebe,"Anyway, he's opening up a restaurant and he's looking for a head chef."
54,Monica,Um... hi there.
55,Phoebe,Hi!
56,Phoebe,"Oh, yeah, no, I know."
57,Phoebe,You're a chef.
58,Phoebe,"I know, and I thought of you first, but um, Chandler's the one who needs a job right now, so...."
59,Chandler,Yeah...
60,Chandler,I just don't have that much cheffing experience.
61,Chandler,Unless it's an all-toast restaurant.
62,Phoebe,"Yeah, yeah!"
63,Monica,"Well, what kind of food is he looking for?"
64,Phoebe,"Well, he wants to do some ecclectic, so he's looking for someone who can, you know, create the entire menu."
65,Monica,Oh my God!
66,Phoebe,"Yeah, I know!"
67,Phoebe,"So, what do you think?"
68,Chandler,"Thanks, Phoebe."
69,Chandler,But I just don't really see myself in a big white hat.
70,Phoebe,OK.  Oh Monica!
71,Phoebe,Guess what!
72,Chandler,Can you see my nipples through this shirt?
73,Rachel,No.
74,Rachel,"But don't worry, I'm sure they're still there."
75,Phoebe,"Where are you going, Mr. Suity-Man?"
76,Chandler,"Well, I have an appointment to see Dr. Robert Pillman, career counselor a-gogo."
77,Chandler,"I added the ""a-gogo."""
78,Rachel,Career counselor?
79,Chandler,"Hey, you guys all know what you want to do."
80,Rachel,I don't!
81,Chandler,"Hey, you guys in the living room all know what you want to do."
82,Chandler,"You know, you have goals."
83,Chandler,You have dreams.
84,Chandler,I don't have a dream.
85,Ross,"Ah, the lesser-known ""I don't have a dream"" speech."
86,Monica,"Oh, I love my life, I love my life!"
87,Phoebe,Ooh!
88,Phoebe,Brian's Song!
89,Rachel,The meeting with the guy went great?
90,Monica,So great!
91,Monica,He showed me where the restaurant's going to be.
92,Monica,"It's this, it's this cute little place on 10th Street."
93,Monica,"Not too big, not too small."
94,Monica,Just right.
95,Chandler,Was it formerly owned by a blonde woman and some bears?
96,Monica,"So anyway, I'm cooking dinner for him Monday night."
97,Monica,"You know, kind of like an audition."
98,Monica,"And Phoebe, he really wants you to be here, which will be great for me because then you can 'ooh' and 'ahh' and make yummy noises."
99,Rachel,What are you going to make?
100,Phoebe,Yummy noises.
101,Rachel,"And Monica, what are you going to make?"
102,Monica,I don't know.
103,Monica,I don't know.
104,Monica,It's just going to be so great!
